alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.089,2.613,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,8.705,22.918,8.716,1.886,1.086,0.000,0.075,4.166,0.000,0.000,0.000,0.000,3.269,0.000,0.000
11,54.837,52.623,55.903,55.061,15.600,51.068,12.562,16.325,20.305,2.232,0.867,0.668,18.735,2.067,0.000
12,173.943,145.808,185.353,119.705,114.108,71.246,76.582,133.899,68.653,51.581,19.203,6.507,11.831,44.531,0.000
13,474.332,636.850,494.703,611.617,401.800,342.244,327.452,371.006,219.327,107.424,106.346,157.591,48.490,67.094,61.346
14,1326.440,1322.850,1375.215,1266.614,1140.459,956.387,773.155,735.473,728.950,480.446,401.814,280.557,251.959,282.737,117.549
15,3036.071,2953.534,2963.876,2456.784,2575.244,2016.052,1945.028,1670.316,1854.714,1275.594,1027.994,747.115,786.918,688.191,358.456
16,5830.455,5434.542,5608.221,5404.418,5163.641,4061.258,3974.032,3930.386,3073.048,3122.029,2370.373,1942.808,1796.042,1293.701,1079.775
17,10993.808,10391.847,10700.820,9606.526,9327.220,8627.756,8046.511,7601.768,6303.896,5814.986,4924.502,4053.119,3499.526,2979.201,2543.016
18,18000.001,17923.713,17964.071,17119.193,16401.716,15029.675,14010.590,13215.538,11773.185,10446.556,9363.530,7814.117,7180.117,5699.717,5009.016
19,29319.554,28608.621,28606.541,27576.307,25647.151,24020.857,23116.066,20933.421,19298.305,18143.904,15669.759,13555.850,11919.942,9708.240,8937.407
20,42581.775,41899.248,41938.210,40510.413,38175.400,37051.004,34614.242,32430.359,30404.281,27511.329,24351.207,22241.049,19087.066,16379.135,14452.383
21,58860.021,57877.795,58084.902,56093.486,53784.928,51343.273,48871.858,47287.235,43322.044,39963.576,35375.350,32417.840,29280.285,24889.156,22429.637
22,77072.149,76080.931,76159.513,73716.193,71202.027,69436.540,64893.327,63022.158,59339.623,55309.510,50385.279,45636.637,40453.282,35906.467,31945.290
23,96038.839,92877.054,95177.578,92974.789,90335.221,85282.667,82900.781,79089.004,75508.639,71301.841,64407.620,58437.495,53476.628,48566.809,44342.702
24,114320.401,111417.804,113285.942,109733.809,107066.748,103746.792,99484.031,96621.046,92241.534,87491.565,81122.170,74447.812,67462.480,62109.322,56161.326
25,129964.345,128308.527,127335.362,125595.269,122811.132,120617.073,114981.018,113303.366,108281.107,102836.389,95158.725,88109.697,81105.558,74685.123,68932.983
26,143520.637,138398.286,141095.390,139477.579,135479.160,132447.090,128728.832,126361.750,120319.019,116359.061,108608.776,104085.013,92703.279,86294.818,80819.236
27,151799.654,147385.390,149555.827,148122.804,144366.116,142632.751,139331.459,135599.858,129592.907,126243.028,119675.334,112348.651,105215.625,96407.562,90500.521
28,157447.219,154399.966,156361.585,153734.133,150627.950,148679.966,146053.000,143240.350,138215.328,135127.061,128173.177,119726.721,111702.161,105680.295,98017.557
29,158278.778,154402.502,156689.673,155905.960,152803.753,152031.084,149378.378,147177.670,142290.396,138528.847,131608.711,127050.809,118160.445,111825.535,103534.060
30,159021.260,154116.076,153893.687,153366.574,151166.933,150417.465,147999.837,145206.909,142554.388,140316.468,134640.203,127412.452,122501.721,114265.440,108430.002
31,151734.063,148106.386,149838.104,149888.459,147101.802,147022.547,144750.759,145316.523,141078.138,137927.182,133532.323,128477.829,123139.762,116091.502,110066.383
32,143868.105,142089.450,144199.004,143645.638,141362.103,141358.790,137990.112,140064.473,136874.441,134189.981,131488.731,126142.561,120777.586,116020.571,111247.168
33,135489.249,134336.763,134934.545,135524.344,134973.441,134274.601,132705.554,133264.366,131059.875,129560.229,127110.438,122072.634,117113.629,112518.063,109571.861
34,127291.182,126087.751,125281.707,126276.486,126667.338,125728.502,126580.132,125620.738,122651.645,121920.447,119902.022,116684.894,114467.804,110107.646,105983.488
35,118192.184,116802.598,118125.398,117858.736,117044.558,117120.686,115601.279,115549.827,117511.378,115991.899,114174.302,111299.652,107976.834,104757.610,102409.860
36,109744.750,107951.230,108929.393,109010.004,107877.031,108657.947,108183.147,109532.517,108312.640,109498.971,106872.087,105560.271,102923.481,100548.897,97440.181
37,98943.758,98567.795,100102.797,100008.967,99142.861,99842.599,100834.779,100312.171,101114.212,100984.679,100550.714,98671.674,97372.498,94749.017,94433.277
38,91659.710,89945.496,91217.077,91414.826,91940.732,92653.468,92473.653,92788.306,92873.939,94169.446,92644.884,92288.505,91750.132,89627.205,88155.299
