alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,86.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,51.629,450.818,51.067,401.275,459.635,511.153,0.000,0.000,0.000,0.000,186.405,0.000,0.000,0.000,0.000
13,1328.875,104.800,1251.047,766.219,410.409,1803.009,413.665,527.913,578.926,54.594,439.741,76.859,185.154,0.000,626.749
14,5134.425,1772.075,1930.172,5257.305,1547.953,1442.209,3150.003,2517.334,1726.238,997.567,745.622,1966.555,1068.238,557.393,340.242
15,10541.405,11210.807,7981.049,7922.782,8330.938,6186.323,6909.218,6103.633,5367.788,4088.167,5073.985,5232.758,4894.044,3305.563,1410.648
16,23636.638,23622.298,25003.884,24268.783,18313.494,21760.125,17497.323,21659.519,17752.380,16176.899,14735.345,10179.189,10966.689,7709.117,4983.822
17,42108.036,55997.828,50659.849,48253.064,42468.996,50476.189,46439.201,46493.264,32201.653,43896.684,28350.724,28355.201,27107.949,26405.006,21547.885
18,114470.927,111147.660,103553.610,112681.556,102208.255,99327.529,100039.027,88072.643,94811.892,77570.024,86820.479,71882.848,65869.552,63710.949,55967.135
19,207220.938,208563.805,211497.873,204714.649,196943.765,192043.627,189737.652,178773.251,171790.014,163296.083,142601.337,137324.648,125815.460,115786.899,110773.132
20,378906.036,354339.343,375463.984,338539.006,349106.720,332205.978,336799.809,325079.159,322369.409,284435.340,267612.077,270530.971,238617.624,226509.993,229857.540
21,612043.352,591563.198,597455.393,566792.340,560891.684,526412.709,521126.701,510884.018,482045.157,482479.193,451824.168,429767.883,406691.313,391984.770,384256.342
22,859738.063,886824.912,851315.690,839026.680,827563.406,842522.684,814135.980,773683.844,732027.729,730367.032,676403.613,670544.590,634778.905,592258.970,564508.221
23,1160049.693,1178277.456,1186628.972,1170190.045,1141958.328,1119185.436,1102434.085,1095868.389,1029592.041,1018178.497,949924.179,939909.305,875139.280,872001.695,848784.652
24,1526715.651,1486911.774,1488891.991,1509940.098,1486398.371,1405240.292,1447487.926,1359872.785,1349816.396,1310298.265,1229992.338,1243252.967,1172450.274,1151565.678,1140601.425
25,1854997.136,1829083.500,1829189.503,1772606.700,1783592.210,1752566.118,1724766.450,1666380.546,1652670.015,1623537.464,1583532.868,1510892.680,1437678.061,1438150.338,1388061.081
26,2139459.458,2106613.162,2142665.842,2109649.640,2061818.980,1998096.243,2058788.949,1988770.214,1927693.799,1883622.671,1825798.079,1770489.177,1708429.004,1704328.002,1643152.977
27,2421889.127,2380581.410,2361894.393,2343362.245,2315791.776,2323401.183,2234082.046,2231387.447,2155923.143,2074691.069,2065512.943,1998318.361,1912515.326,1891452.066,1866175.395
28,2569882.913,2511055.358,2526317.099,2510571.958,2502591.719,2458663.306,2377556.221,2348542.268,2380018.919,2309600.420,2234719.838,2184683.339,2044305.926,2028052.403,1999256.396
29,2643201.107,2612767.173,2709741.536,2641958.803,2553889.884,2555343.114,2523034.897,2445540.530,2476945.091,2397303.316,2275946.773,2289517.090,2213529.645,2154479.971,2103202.344
30,2690862.786,2682148.267,2665125.020,2668015.127,2636310.872,2615065.996,2561757.915,2544877.109,2459817.467,2475784.668,2392064.417,2336644.993,2249193.773,2253541.167,2199027.461
31,2721811.671,2710854.401,2647513.712,2688749.159,2631479.561,2619451.303,2549051.745,2585978.060,2511199.152,2494671.504,2380990.081,2330762.141,2317764.699,2212559.137,2203318.170
32,2647626.549,2642728.567,2639149.857,2655526.317,2595585.884,2577285.800,2512986.439,2521360.685,2468382.663,2404005.271,2392153.261,2308206.345,2264538.590,2258092.790,2142722.358
33,2623416.444,2615695.736,2571130.391,2578973.125,2547006.173,2512146.920,2497295.184,2472456.556,2444684.682,2351476.130,2328565.921,2241948.589,2238137.173,2145899.351,2142320.314
34,2510682.720,2531904.380,2545253.364,2496495.274,2474443.788,2462730.560,2419888.518,2377513.846,2349022.036,2305431.780,2264302.972,2224070.293,2168698.376,2084501.922,2101610.537
35,2431378.027,2431114.473,2400611.041,2442920.150,2421501.697,2419362.841,2337166.427,2367663.379,2254732.018,2198509.170,2172496.723,2172995.456,2151419.224,2085911.721,2026542.522
