alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,104.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,83.269,0.000,0.000,0.000,0.000,0.000,0.000
17,13.373,79.096,0.000,0.000,637.836,0.000,219.547,0.000,0.000,6.438,0.000,0.000,0.000,0.000,116.304
18,183.300,210.179,846.217,188.087,320.967,311.551,82.716,281.449,166.538,247.389,0.000,191.148,96.205,0.000,154.348
19,1524.293,1158.642,1087.923,2076.374,2346.415,595.824,526.530,2163.300,198.528,1070.217,1787.802,1385.496,2032.433,1911.358,154.348
20,5392.887,3622.461,4686.790,3009.827,3121.601,3856.789,3840.535,2639.349,1861.224,1868.770,1517.816,3727.074,3846.537,2637.613,2080.414
21,8412.074,8224.298,6409.786,9148.384,8023.115,8105.942,5609.582,2476.116,5293.139,5237.686,8181.682,9455.220,1560.388,5184.677,7617.831
22,11607.765,17572.576,18826.742,14580.424,13586.889,11875.908,14307.778,11282.081,16548.484,13022.406,11894.264,13516.724,11957.212,12620.189,15723.523
23,27217.270,28917.816,23892.015,26307.658,29862.662,23471.142,25788.843,32198.764,24248.641,21559.864,27610.648,23015.957,29042.714,18606.396,20227.814
24,42372.523,40600.774,42091.005,31926.373,39382.323,36183.350,33489.386,40345.453,42027.395,37373.458,34216.280,35391.717,35919.745,41253.330,36955.640
25,61973.270,71848.330,61670.093,55796.777,58647.790,58707.895,53621.102,60964.624,58563.828,48919.953,51333.302,59061.845,50321.174,47360.056,55727.286
26,79381.257,79019.622,75714.414,68993.883,84436.356,67675.868,78610.315,90716.360,74205.029,62420.732,73445.901,70251.874,64360.060,66178.248,79509.255
27,99008.243,100431.496,104003.603,102751.960,102109.050,90662.017,83116.238,87427.140,105080.594,89998.875,106540.770,95068.067,75927.537,96731.557,97535.249
28,114623.665,132397.278,111612.292,116672.611,114252.713,118772.626,125846.902,128136.293,119263.906,109514.443,112908.223,112451.351,99950.228,105125.746,128289.236
29,125260.663,136312.798,159603.597,141414.520,144945.912,110845.471,132960.540,134987.835,126443.720,129981.388,127573.407,149284.551,126244.322,123216.856,128226.432
30,153695.511,148147.648,149819.122,156296.699,149242.173,156953.759,156282.020,148510.762,157075.977,143322.677,150654.008,150888.805,153698.668,141480.722,133239.018
31,164941.027,163351.411,161969.433,166046.446,171576.902,155756.186,186175.264,172864.789,164223.818,142791.095,152650.408,161673.709,155122.131,146605.900,147135.117
32,179610.263,186652.383,175970.897,185129.075,176596.970,179660.253,184482.628,173610.298,160459.308,184018.821,179507.715,166321.254,159185.486,151492.263,182675.978
33,188836.529,197254.000,202695.667,183319.994,181328.196,183853.291,195578.096,183269.287,185776.155,173850.724,177626.701,178783.275,162774.263,160018.497,164242.349
34,210137.327,197702.511,176078.825,182733.204,193418.395,186743.589,175618.550,203911.642,193163.637,190390.842,187633.992,180346.140,185703.276,172660.034,182073.520
35,203738.734,211610.122,193407.061,196356.665,217497.060,197993.536,200009.313,200200.331,183864.158,198414.887,180551.589,185147.708,185489.108,167729.508,181094.765
36,198520.315,175590.448,207879.744,209379.400,197056.204,206378.429,197993.106,193870.663,194241.261,197786.640,198083.306,201141.511,202593.741,180202.165,199779.274
37,201480.732,192708.653,184193.284,202254.718,227180.408,180341.867,181817.086,199537.401,207457.808,194500.314,211460.477,194777.790,188244.684,201666.281,188813.935
38,199463.324,201174.824,213856.403,227473.219,200918.996,206480.970,206747.752,211559.021,206370.818,196816.063,218773.367,205679.715,186905.773,189426.879,205815.677
39,213567.361,204424.957,204753.525,217584.836,205023.461,191611.483,174968.065,201340.860,209720.084,208153.330,184745.360,181875.427,195917.116,197523.072,191618.107
