alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,45.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,711.120,45.992,0.000,106.510,361.503,0.000,0.000,0.000,0.000,0.000,0.000,0.000,415.818,0.000,0.000
11,316.261,1016.999,691.125,470.885,206.592,518.200,93.518,1142.070,125.548,48.300,65.467,50.807,123.286,74.497,0.000
12,1808.117,2046.562,3106.989,3088.484,2481.499,1070.139,1769.005,1614.662,884.976,2446.233,551.315,622.286,117.438,172.887,0.000
13,7158.272,7517.168,6274.904,10795.083,5750.052,5229.136,6936.655,6570.348,3337.072,3457.699,1107.607,982.904,1019.947,1739.289,3121.291
14,24599.863,20166.085,22162.313,16683.690,17740.230,12910.306,11967.000,14487.403,10437.433,8402.346,8860.216,5453.271,6336.663,3507.906,2848.144
15,44638.579,48947.912,48557.074,40870.832,39511.989,43255.904,37805.353,34562.225,23106.094,23534.877,22501.274,18899.374,17395.660,19253.193,9730.223
16,97448.393,98763.128,107633.702,96196.296,90772.007,88828.687,74717.787,74358.465,70302.268,65192.099,58215.019,46891.689,37708.823,34911.451,36538.015
17,212899.683,205834.336,198887.523,192320.157,187578.378,168419.345,167622.386,156450.177,149153.573,141966.100,116511.789,112320.787,98922.565,91757.568,71996.368
18,374617.343,385685.803,371346.253,368664.669,349820.733,343508.006,323557.379,302529.694,284394.987,264198.052,261732.916,211410.575,196570.825,179901.244,163899.215
19,649473.963,619150.878,641118.142,626435.676,595556.584,591859.732,552908.244,531347.215,495908.710,494492.641,446635.954,419360.930,382898.842,356953.441,320684.828
20,1012369.194,1005097.407,1045618.045,1003727.935,958263.253,955393.825,889622.790,883047.042,833526.512,812537.634,742127.844,701568.769,647669.015,599959.271,559063.535
21,1524794.555,1534317.428,1478873.332,1468220.056,1445023.922,1426650.025,1344713.928,1307915.882,1252602.726,1258003.870,1164176.484,1118305.527,1044777.801,974883.498,921582.136
22,2114936.343,2094399.812,2024053.482,2032758.126,1989105.314,1938964.797,1906408.485,1862678.044,1812699.368,1718092.046,1689362.237,1546946.098,1480262.296,1431164.042,1318593.264
23,2717123.151,2733588.188,2690553.423,2684103.769,2599916.002,2575483.080,2494493.768,2450487.314,2396497.628,2323515.580,2175900.710,2106104.822,1974274.544,1934659.247,1856654.724
24,3347008.304,3309738.035,3388559.958,3286616.761,3288654.440,3180718.161,3131061.799,3044695.204,3017806.090,2890365.115,2742830.409,2649401.249,2611927.752,2486200.637,2354871.917
25,3926409.105,3847282.438,3916502.299,3900677.325,3811579.769,3794665.430,3652399.553,3678673.594,3589854.196,3460405.896,3298285.361,3243479.416,3041083.773,3050897.490,2881574.595
26,4369302.878,4411482.083,4407751.034,4335762.049,4305077.099,4355145.022,4144004.082,4143939.980,4054555.041,3889562.407,3771626.996,3675284.590,3519445.279,3403715.927,3330916.211
27,4769035.093,4773761.432,4734151.966,4739134.588,4645436.688,4610337.607,4566438.291,4496785.516,4302917.705,4324315.081,4120906.906,4019308.379,3862993.970,3777276.425,3704123.652
28,5011109.630,4969407.173,5006415.263,4910981.601,4854542.815,4894002.368,4768737.658,4677172.319,4556549.239,4499793.270,4367597.901,4268534.240,4073899.225,4052337.475,3856106.490
29,5104991.417,5118426.404,5086593.317,5082073.542,5030682.134,4989267.107,4970812.035,4799709.983,4679137.152,4674638.196,4507998.823,4382786.505,4285877.262,4196252.652,4000680.047
30,5161085.776,5072007.557,5044954.828,5028073.628,5056775.875,4989202.283,4901809.763,4846338.311,4707065.456,4622064.186,4550018.514,4410675.475,4305207.498,4138180.069,4002325.242
31,5046004.328,4998373.412,5097302.785,4951726.294,4989599.251,4906613.274,4914893.671,4699636.910,4701422.241,4622764.378,4474020.059,4401059.558,4236548.115,4159648.829,4044228.733
32,4898769.741,4871079.116,4898751.788,4866642.311,4923767.229,4843198.431,4702427.056,4695499.990,4563047.699,4534800.576,4470976.397,4256327.733,4173671.785,4072986.358,3898713.357
33,4763586.552,4739260.865,4806930.423,4734649.141,4681465.511,4654197.127,4667363.390,4548852.873,4428125.565,4395903.065,4231138.546,4168089.170,4048588.600,3932822.675,3878506.671
34,4595204.111,4566256.937,4535177.047,4570319.851,4599038.424,4538802.353,4386682.658,4363307.272,4250468.407,4235838.275,4138503.949,4008374.766,3905137.124,3818188.726,3684985.089
