alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.076,0.191,0.606,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.539,0.000,0.000,0.000
15,1.019,2.796,1.439,1.779,0.000,2.678,0.858,0.971,0.494,0.970,2.231,1.987,3.900,0.000,0.000
16,3.945,5.377,2.007,2.677,5.229,2.217,3.081,4.754,4.574,6.466,0.608,1.634,1.660,4.755,0.907
17,27.465,7.332,12.509,8.199,14.251,13.847,13.936,14.392,13.551,12.996,8.068,10.776,13.570,11.466,10.888
18,32.818,47.762,50.526,54.435,47.859,48.464,51.421,43.073,31.305,32.295,30.603,35.198,26.478,29.749,22.671
19,114.840,126.781,126.906,101.359,119.255,96.192,104.414,71.668,86.922,83.299,84.358,78.099,92.212,85.070,73.392
20,222.767,275.276,236.514,251.476,233.623,224.496,197.074,210.734,190.574,172.699,165.473,189.378,174.791,180.125,142.389
21,432.171,479.558,443.602,435.404,431.894,433.303,392.053,385.823,383.053,347.386,307.110,350.765,331.273,314.624,309.796
22,766.021,852.447,759.041,764.380,772.912,729.262,666.172,659.285,667.485,596.005,623.561,567.128,623.443,570.313,498.749
23,1195.049,1208.629,1207.640,1208.916,1192.934,1158.364,1048.148,1075.875,1016.887,943.973,917.983,886.060,897.197,833.504,806.890
24,1716.219,1800.669,1685.533,1655.892,1669.925,1667.746,1569.416,1474.070,1480.346,1441.253,1355.613,1318.608,1300.908,1284.219,1217.847
25,2314.601,2322.330,2254.489,2213.970,2233.201,2141.136,2006.697,1897.790,1974.379,1853.330,1872.991,1857.545,1768.392,1702.473,1688.330
26,2869.090,2952.830,2840.663,2778.759,2746.466,2691.613,2645.774,2523.968,2515.403,2467.024,2372.083,2374.345,2206.238,2209.644,2110.605
27,3463.928,3453.658,3368.955,3314.535,3293.723,3217.121,3131.533,3114.975,3061.152,2966.826,2870.384,2785.585,2757.498,2598.535,2479.631
28,3969.670,3925.394,3856.210,3740.993,3728.948,3733.497,3601.904,3472.782,3468.507,3361.275,3341.752,3149.917,3124.394,3209.446,2916.814
29,4275.264,4324.368,4211.168,4122.157,4063.003,4090.818,3963.432,3922.474,3861.831,3699.442,3642.343,3562.025,3557.264,3432.869,3215.979
30,4486.929,4591.204,4387.865,4397.345,4397.682,4360.938,4186.856,4172.625,4174.040,4065.296,3938.510,3789.155,3576.633,3683.935,3534.821
31,4623.581,4685.539,4592.403,4536.533,4420.729,4477.462,4334.294,4435.618,4313.839,4199.590,4026.818,3894.799,3905.559,3856.537,3724.224
32,4758.736,4894.322,4600.792,4572.875,4699.449,4605.667,4366.773,4414.968,4367.942,4293.798,4083.691,4103.085,4020.343,3939.574,3777.649
33,4766.478,4740.133,4539.600,4622.172,4579.020,4495.993,4364.771,4384.118,4375.121,4173.670,4114.435,4074.933,4026.661,3995.188,3734.774
34,4683.354,4587.205,4496.545,4474.899,4553.880,4399.195,4310.851,4247.743,4282.237,4196.236,4055.546,4088.356,3983.100,4083.790,3694.841
35,4500.814,4495.127,4408.296,4327.783,4434.902,4227.473,4181.579,4231.865,4179.233,4089.616,3974.891,3972.665,3847.197,4015.848,3646.106
36,4219.507,4359.145,4172.697,4095.544,4142.893,4098.036,4091.775,4037.147,4042.270,3900.433,3858.050,3775.743,3682.655,3653.376,3621.454
37,4124.246,4019.565,4041.007,3921.324,4013.248,3894.440,3838.258,3957.840,3763.772,3799.289,3648.489,3625.059,3623.602,3700.220,3472.456
38,3863.744,3813.844,3768.375,3799.285,3739.622,3657.770,3621.396,3680.464,3725.756,3626.332,3541.001,3417.888,3493.787,3475.423,3288.731
39,3692.314,3591.092,3572.516,3471.658,3531.489,3605.639,3466.069,3485.308,3564.790,3385.661,3381.776,3317.985,3290.205,3310.978,3260.482
40,3434.497,3401.784,3355.907,3309.939,3396.164,3315.493,3257.093,3347.965,3237.469,3196.731,3249.154,3251.974,3113.913,3202.419,3091.250
