alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,5.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,98.436,238.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,123.063,0.000,0.000,0.000
20,98.436,0.000,262.559,98.777,5.644,0.000,0.000,912.484,249.472,0.000,109.200,1088.966,272.876,0.000,0.000
21,428.054,232.948,0.000,1005.154,355.661,1758.800,323.617,780.513,107.203,1110.864,0.000,0.000,272.876,136.804,288.423
22,1100.116,1151.478,1225.499,2169.942,230.205,3518.625,1282.581,263.944,428.810,551.313,447.864,253.148,1272.131,1164.893,909.750
23,2069.596,838.918,893.599,4327.777,3423.471,1199.318,4858.341,2542.156,4624.474,3501.848,2645.028,2317.300,1746.087,701.280,3186.867
24,8962.748,3465.725,3611.533,4920.216,4885.143,3963.512,9076.775,3866.571,4156.893,5778.020,4697.466,6270.021,1999.503,4336.282,2618.491
25,11565.826,9174.644,7987.374,8641.481,6417.841,9992.196,6968.678,7920.792,6991.145,9816.411,5984.100,8468.109,5746.892,8188.134,5576.853
26,12316.378,12557.475,14490.363,10454.615,13155.022,10922.589,15839.319,9613.067,22095.753,16265.544,10953.355,14037.743,16257.486,8787.016,13553.479
27,16574.792,16228.090,13103.175,16939.517,17666.076,20656.852,15573.657,19678.337,15083.015,15641.409,14777.485,19824.294,15659.847,11181.209,15567.328
28,20420.236,25030.898,28610.655,28313.286,21168.983,20226.880,25250.243,24866.428,25993.899,18098.221,19835.530,22277.611,18690.699,16435.204,20779.354
29,27629.572,24084.994,28210.398,29202.716,33664.358,23717.465,30469.264,25405.002,28785.563,26250.743,30657.837,29840.501,17824.826,28882.523,31008.590
30,29780.126,28135.373,42513.751,30420.580,34678.518,30594.267,31123.919,35499.371,34891.115,30250.252,33931.724,41432.791,32539.967,34494.820,34283.118
31,41393.646,44188.838,36843.524,44198.299,52231.723,40946.493,39695.996,34510.119,45100.730,42124.375,51733.410,36114.570,32851.932,35565.406,39216.091
32,43627.667,43486.884,45267.035,47890.731,37812.822,48285.729,50431.546,43728.244,41678.556,45216.005,53933.364,49076.128,44098.783,40104.495,35819.225
33,52139.268,62291.574,42673.333,50202.340,49468.267,50582.589,53694.638,54862.832,46869.706,46059.536,39278.309,48155.324,49460.864,49296.932,47148.997
34,55026.122,56024.745,61937.229,49108.706,56989.161,48463.209,56969.304,47196.729,62954.241,58994.923,50796.056,51860.697,45034.778,53595.121,40680.013
35,65741.796,57014.304,50175.782,61347.379,54640.749,63508.650,59043.412,57883.179,56616.977,54474.818,50673.609,47049.634,60763.348,55820.113,59617.220
36,52079.151,69345.746,56505.767,50355.507,62626.418,67665.082,67043.067,57467.432,55605.956,62885.188,59779.483,54452.659,56100.815,54864.275,44524.001
37,72563.469,76582.924,59630.400,60370.042,66667.350,56459.954,61738.063,73311.148,63393.506,68370.529,56326.374,49700.709,63422.417,62529.834,69455.626
38,61956.140,79796.415,71586.949,56040.041,62036.330,54025.033,65167.128,66582.969,57612.610,56478.174,62118.489,50854.863,70274.759,60900.864,51373.168
39,73371.364,76526.517,62952.101,59815.734,74647.947,61474.217,64555.118,62713.949,60257.709,64231.313,62743.371,69318.900,65686.668,69223.800,70128.845
