alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,45.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,99.184,0.000,71.883,0.000,0.000,0.000,0.000,0.000,0.000,101.742,0.000,0.000,0.000,0.000,135.554
17,743.118,577.055,334.560,56.244,324.851,682.105,98.755,423.546,311.656,795.543,0.000,0.000,201.892,862.326,1026.830
18,2084.746,2671.448,401.368,1166.653,1464.818,1567.144,1877.256,3005.672,388.115,2157.464,1244.896,1299.037,782.953,1167.348,2045.380
19,3799.516,4331.687,5869.827,4741.083,5003.980,6685.042,2819.309,5592.444,1865.248,5125.010,3255.753,5011.464,2375.958,2355.356,5598.542
20,14107.635,12801.389,10731.588,13033.762,13379.996,8579.778,9661.634,9515.817,6672.551,8313.805,11534.753,11576.970,12071.763,11713.020,9264.999
21,26304.334,25367.898,29067.101,21518.987,22062.195,19616.724,28259.294,23034.701,24312.874,22791.122,15889.014,23154.960,16008.546,14729.313,22258.545
22,42594.056,43039.079,48451.266,43727.540,46865.608,43659.495,40824.035,36337.746,31606.569,37026.535,45604.397,36733.771,50593.004,46141.386,33960.293
23,82368.457,87996.056,69458.334,73069.655,66756.671,63641.454,71357.783,60360.772,73927.969,67544.854,65069.769,68188.812,62516.691,65461.329,55981.796
24,105502.622,110309.449,95006.320,97666.668,119229.230,99660.724,108617.442,98118.866,106602.721,107062.756,89315.474,101731.666,104172.391,91667.616,85516.188
25,151812.999,150732.912,149885.794,145821.775,149648.735,138083.921,136990.032,135926.515,151334.836,125984.749,132353.408,122498.129,130250.534,122288.540,107721.550
26,194554.002,191252.742,182183.961,184000.912,182668.498,182979.428,180442.353,170262.712,184012.071,185065.008,155264.763,166729.334,167726.407,154262.725,169391.009
27,227486.835,233049.908,249620.877,236410.774,230770.580,239595.827,212948.268,214121.889,211838.783,207579.375,192923.261,217933.598,201491.193,190251.904,225144.584
28,254494.055,247570.375,251848.485,287302.261,262389.103,258024.077,265840.167,262254.688,262570.055,245891.965,253829.562,238927.899,242628.867,229127.577,240003.268
29,298790.165,309452.368,303470.329,296489.256,301021.952,294783.376,279162.742,282078.178,279098.664,288551.360,280484.130,276059.244,266605.361,272814.092,260869.677
30,330525.477,333981.012,326225.464,323220.299,325745.461,318373.052,310597.463,313701.031,312082.634,338366.551,308764.521,278639.671,306213.832,293466.014,291368.273
31,342082.549,340171.012,378522.889,363124.415,338694.340,341748.064,334273.296,324546.853,337629.235,334146.411,329686.055,328050.101,333148.928,329790.721,334989.903
32,371149.423,385504.353,361799.303,371164.707,385914.843,354822.244,354140.322,335240.551,377068.031,332386.658,346412.516,304922.156,323174.063,316495.803,325300.056
33,377362.694,380764.769,371505.695,379310.747,379775.160,380066.541,334263.555,356888.834,364894.756,375674.160,335122.248,346584.443,344674.741,341952.741,327220.743
34,389114.721,375302.028,392870.022,380617.840,377083.770,346603.468,379852.623,348412.642,346187.134,351889.510,353791.807,347219.933,335986.279,364476.284,330138.912
35,376010.185,382533.882,360688.305,394605.317,366554.201,360397.929,375730.649,397197.097,367498.472,355736.827,379628.375,360243.110,350584.375,332951.370,334728.548
36,381986.977,402695.478,382565.767,363144.100,393101.722,355638.538,342205.476,365153.589,366412.006,336105.415,372283.944,344533.349,355913.830,360759.481,336351.802
37,386205.999,382876.966,395619.447,376929.681,386911.781,366663.435,378362.571,392548.796,380364.535,358310.909,343399.099,357061.608,353105.580,328624.722,332698.995
38,372263.903,395347.390,370428.378,383775.321,362816.055,388425.764,344784.334,357746.886,364055.437,394328.996,340716.139,353693.866,364780.413,364850.427,327773.551
39,375022.783,369562.458,388992.182,369445.585,385562.600,379237.082,365199.760,364496.120,357691.274,349843.853,335140.191,347113.522,343472.577,348459.879,318815.063
