alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,126.576,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,682.916,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,151.562,0.000,171.508
19,210.640,693.008,87.009,94.483,798.197,820.963,96.760,73.840,128.926,99.053,108.111,105.612,0.000,70.659,129.234
20,2449.812,1679.780,913.855,998.938,390.321,864.235,1081.380,126.576,452.150,99.053,1075.634,975.117,1965.745,231.545,0.000
21,5145.687,3588.705,2686.268,3416.252,1781.948,222.599,931.120,3234.434,2692.697,1206.058,1154.714,245.771,1433.508,2048.904,1710.157
22,5145.446,6434.390,2864.016,2542.704,4452.270,5378.041,6779.765,3447.722,6997.447,1983.540,2847.888,3095.132,1576.469,2128.569,756.515
23,9410.364,7951.163,8261.713,8745.948,6737.818,11512.694,8638.022,6179.143,9065.699,8411.238,10094.872,3566.372,10910.538,5340.920,15704.074
24,14432.228,8270.584,12056.219,8636.871,11600.538,15171.597,15199.222,11733.486,15375.973,7552.554,12261.960,18408.397,13679.320,14530.945,16772.089
25,21448.670,21655.729,22369.038,17900.499,23410.725,22287.200,19443.630,17530.586,21051.191,17569.091,19993.444,14682.291,20484.370,12027.554,16766.430
26,24105.332,26807.081,27267.551,35754.758,22141.625,23843.093,23103.642,31524.419,26814.961,30944.764,30419.509,28550.825,19749.974,31919.467,30122.236
27,43782.980,40906.660,44801.077,36389.917,42849.874,37507.452,39984.536,31472.971,40940.624,36682.278,40034.122,28876.162,31868.739,32506.491,32306.768
28,59681.749,47365.806,51463.184,50147.434,50517.721,46348.079,42350.958,53355.067,45094.695,46754.832,49766.822,43701.951,40598.877,45369.088,44844.124
29,56777.423,66600.543,59360.682,49246.131,66351.183,60726.355,55554.697,62959.573,60512.427,55086.156,54937.899,64577.386,69853.177,54783.351,54499.907
30,62681.804,74119.606,79914.491,78801.918,61111.777,74942.217,72286.438,76496.524,74457.228,65656.857,70626.574,57474.635,60649.474,61205.849,70977.402
31,83030.605,81358.022,76253.084,77626.169,90325.406,74506.399,69032.932,80834.234,69297.098,71444.294,83507.296,79928.787,76257.635,83178.220,81095.000
32,73161.606,102374.080,95288.616,86387.170,80977.220,74661.095,78354.982,81500.796,80995.548,77644.673,85001.239,81650.353,79489.610,73949.382,86439.438
33,91857.098,98126.529,93464.486,99868.069,90211.102,96629.032,108245.015,79656.074,88711.295,86849.783,83955.229,87064.485,88008.673,86977.984,84661.824
34,103908.933,97081.199,102740.996,100629.890,87735.993,101004.299,97175.040,76766.582,92355.638,82418.012,91306.824,97705.263,81585.855,89317.407,88691.201
35,115568.297,125769.708,102475.687,101863.308,110025.098,93448.673,115249.715,84891.019,87991.080,92865.947,90904.205,88669.696,93255.613,98597.747,91498.488
36,102216.024,108789.436,107436.510,103913.877,104086.190,107614.776,111527.355,104364.546,87706.503,110226.975,93572.442,95078.083,90989.402,111575.193,95737.633
37,100752.899,102293.787,101240.021,132110.416,118368.853,97917.991,106186.964,104325.797,107378.725,102346.084,113920.793,104216.336,89421.557,106258.807,97879.044
38,118587.678,117616.797,111382.169,119902.424,93794.014,111176.514,115696.542,110515.290,93915.197,105514.282,112323.055,105579.057,111244.901,108294.525,106020.732
39,111951.565,107760.221,110171.089,104776.366,100882.088,115784.766,110453.460,107262.127,101506.131,113556.606,98399.329,109715.203,99268.946,109438.087,106805.337
