alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,2.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.010,0.000,0.000,0.000,0.000,2.209,0.000,0.563,0.000,0.510,0.000,0.000,0.000,0.000,0.000
13,6.768,4.618,0.797,2.148,7.654,2.000,0.000,1.775,4.827,0.232,3.377,0.000,5.195,0.000,0.000
14,11.328,27.694,21.119,22.158,9.896,8.600,6.109,6.942,12.989,10.402,10.516,2.704,1.876,0.000,3.462
15,56.251,34.396,32.098,57.858,31.382,40.389,70.853,48.802,36.951,22.674,22.979,13.222,4.343,16.091,9.384
16,149.865,189.664,126.774,188.305,100.474,123.602,87.560,77.609,85.858,85.707,79.494,52.721,64.729,54.464,61.131
17,378.654,374.240,270.823,319.788,311.661,285.000,224.895,263.661,249.684,221.927,171.125,144.522,185.346,121.131,143.259
18,712.389,798.654,682.356,656.715,664.893,668.181,612.597,659.724,521.712,463.078,418.277,386.798,344.457,371.601,362.157
19,1669.477,1485.016,1557.784,1542.954,1508.631,1345.818,1271.880,1263.273,1166.167,1008.334,976.321,915.485,773.172,756.355,712.432
20,2706.820,2713.406,2639.719,2535.018,2495.387,2336.428,2398.930,2318.196,1978.648,1921.062,1701.858,1586.821,1455.151,1351.714,1205.167
21,4483.038,4203.911,4496.220,4322.597,4232.795,4007.304,3805.618,3655.204,3315.148,3241.474,2990.157,2720.552,2461.158,2342.051,2263.229
22,6687.992,6686.754,6656.397,6371.256,6433.927,6038.928,5862.624,5573.722,5257.642,5073.663,4685.565,4345.206,3992.033,3749.752,3595.964
23,9436.494,9225.281,9059.189,9140.282,9118.257,8516.749,8217.405,8054.875,7398.732,6985.283,6960.734,6233.489,5931.729,5528.782,5275.668
24,12270.750,12002.928,11929.561,11617.048,12000.233,11490.167,10632.582,10534.171,10071.448,9500.229,9224.747,8440.742,7918.998,7374.508,7327.794
25,14904.670,14970.990,15127.271,14831.233,14599.452,14195.962,13367.504,13532.800,12555.874,11917.921,11586.525,10965.185,10124.360,9523.855,9358.918
26,17658.133,17437.320,17531.024,17226.045,17173.262,16711.075,16327.639,15822.006,15237.919,14295.357,13893.006,13174.745,12215.490,11749.963,11503.113
27,20198.007,20120.743,19939.124,19550.767,19791.529,19408.671,18316.700,18253.218,17085.126,16760.590,16042.401,15116.291,14630.495,13598.374,13350.123
28,21789.651,21620.506,21977.763,21691.902,21214.405,20710.726,20105.766,19975.145,18808.675,18186.465,17816.215,16828.674,15691.397,15450.346,15170.121
29,22835.961,22929.693,23359.933,22346.408,22445.979,21883.509,21534.298,20927.601,20032.727,19270.100,19069.027,18144.833,16960.224,16716.203,16606.469
30,23626.889,23106.886,23572.985,23014.317,23025.864,22588.630,22622.091,21876.431,21050.794,20124.220,19752.409,19265.620,17821.721,17398.131,17657.680
31,23711.937,23105.417,23757.348,23253.462,23289.562,22604.193,22702.023,22376.234,20991.962,20423.036,20525.494,19820.521,18216.333,18074.446,18018.537
32,23334.354,22911.548,23023.346,22735.609,22691.434,22361.506,22380.669,21618.805,21246.076,20643.175,20390.590,19917.816,18689.630,17999.123,18353.309
33,22588.161,22267.997,22449.228,22148.212,21987.388,21637.110,21762.864,21313.330,20851.255,20084.086,20128.438,19776.495,18187.447,17927.371,18022.154
34,21572.801,21548.382,21673.453,21297.529,21293.203,20887.499,21241.718,20522.936,19838.623,19553.466,19313.794,19195.649,18149.454,17415.508,17416.810
35,20324.722,19882.889,20419.884,20489.762,20249.183,19882.147,20180.838,19773.966,19193.075,18598.154,18885.925,18270.727,17645.221,17117.105,17205.433
36,19021.632,18969.079,19150.614,19156.992,19337.395,18803.745,18977.202,18606.878,18180.812,17998.721,17689.240,17585.383,16832.860,16144.749,16734.863
37,17871.854,17860.660,17945.217,17675.092,18031.648,17572.286,17774.008,17535.559,17149.876,16992.218,16977.205,16685.931,16179.774,15768.392,15965.753
38,16910.148,16641.472,16609.752,16932.384,16571.353,16334.857,16526.995,16218.765,16105.691,15975.282,16010.924,15876.618,15098.856,14977.671,14976.894
39,15650.434,15458.336,15631.322,15448.459,15501.386,15186.818,15415.323,15332.924,14972.121,14984.451,15004.928,14780.256,14396.700,13994.968,14186.471
