alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,537.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,103.159,0.000,0.000,0.000
15,66.170,199.347,0.000,527.312,0.000,598.281,0.000,69.585,4.027,71.735,183.630,610.106,0.000,0.000,0.000
16,772.432,228.554,66.839,661.679,787.916,67.611,1645.905,847.265,70.577,166.936,81.148,155.464,728.736,278.708,93.378
17,2863.084,424.709,2299.237,622.531,1849.358,1475.965,1351.013,1171.129,1534.064,1834.557,1028.329,672.711,1177.783,1053.414,1070.572
18,3590.172,5526.675,7887.870,5047.218,4170.785,3924.730,6661.357,4810.940,5112.044,2901.140,3722.506,4034.208,3282.065,4821.114,3705.211
19,11374.075,12106.559,16090.897,15090.788,14828.271,8690.893,10719.130,8003.809,11401.930,11663.660,11771.474,10051.493,14239.473,9800.639,9915.886
20,26514.707,35099.045,29544.243,32797.593,29690.346,28186.603,25316.950,30343.461,25150.416,21608.228,23195.531,22834.072,23389.730,27059.900,16693.773
21,54631.261,50111.534,51645.008,49868.390,57426.410,52191.952,46640.632,49574.448,55515.884,47426.757,50960.906,44260.014,41968.047,47952.613,48048.280
22,98406.504,116509.897,89176.651,89049.814,94340.031,93026.251,90295.487,87061.965,94219.040,86652.135,84550.133,82911.866,84199.972,75679.391,75685.784
23,143093.451,139963.138,161070.305,145226.551,145357.385,148801.414,148018.474,139072.374,144240.456,138890.633,115377.023,127716.193,123161.475,127992.914,111315.139
24,222826.172,208850.223,228429.812,196539.880,195879.315,210872.217,200922.939,192769.225,192621.310,199201.668,187316.676,184141.741,165002.336,180083.432,171599.314
25,293130.385,285787.675,287559.656,269128.162,265292.770,259152.490,258438.888,249089.975,254329.040,247031.967,250427.851,258548.468,232623.059,231663.016,244622.237
26,371194.769,370943.230,360395.127,349227.645,353281.305,340601.663,344392.531,330639.345,343784.664,320352.439,320893.846,328843.081,295663.622,296339.182,313122.603
27,410721.064,431309.333,421076.096,403470.298,412317.467,409287.662,389711.534,416795.532,396705.253,406173.600,372267.890,394901.797,365389.645,359760.351,344037.879
28,501311.513,486829.373,479749.961,470725.924,485468.301,463250.972,475805.201,463824.510,463559.740,426855.544,449142.479,436386.140,432793.604,425107.799,429417.172
29,526170.143,542037.759,516606.101,524411.959,528540.063,497619.690,507473.445,506055.130,511564.696,467404.943,490298.192,516319.479,460678.650,471162.055,451899.142
30,579477.280,561350.384,563812.394,574573.171,544232.431,571675.996,552166.451,528264.027,532697.323,519333.878,534574.942,513938.939,461458.727,535544.130,485488.853
31,552633.792,587550.620,576731.588,603717.254,572112.385,574855.672,581073.544,584198.874,554872.976,561870.676,535958.422,530351.506,534601.014,510216.416,523795.365
32,595734.502,626360.914,600030.851,592284.790,591324.778,581099.439,599527.556,589719.537,570907.570,579306.161,554420.020,519596.824,540769.321,517085.419,535418.696
33,638680.923,639359.311,579473.367,618722.018,605206.838,580231.206,568704.525,562201.783,581857.764,548273.659,570895.041,574017.398,525339.216,565005.908,517867.199
34,615759.067,588607.240,613011.510,591315.446,605687.456,565914.651,583368.838,590067.455,583820.967,572282.914,584472.391,565643.237,533461.854,573402.531,548707.699
35,607573.586,598032.717,570195.130,605840.625,626094.080,588800.644,601123.162,591644.065,586262.388,555674.640,553917.366,547445.164,555797.127,564298.162,540554.516
36,585663.764,605131.811,582303.439,604604.405,591558.802,566454.723,606256.995,574019.847,590083.881,580968.293,557623.610,549923.779,534615.001,543788.071,542549.415
37,607958.100,593970.961,599215.509,584456.257,583917.086,606619.623,599003.069,579926.103,565075.858,579746.461,538194.298,531376.895,535191.810,530011.124,520902.414
38,570065.918,581803.452,581751.458,603367.422,595790.830,560477.159,567291.187,561615.797,557861.493,572931.235,563924.819,494137.704,544488.859,545934.879,500956.512
