alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,148.318,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.000,0.000,0.000,0.000,0.000,0.000,162.839,0.000,0.000,0.000,167.354,0.000,0.000,0.000,0.000
21,112.806,227.484,916.277,0.000,0.000,158.052,0.000,0.000,0.000,0.000,996.421,0.000,0.000,0.000,0.000
22,149.705,341.932,274.838,1041.790,0.000,238.189,293.114,12.801,0.000,154.948,295.430,0.000,2110.507,144.871,1416.403
23,225.611,2147.881,1039.214,270.686,1023.418,1211.901,1208.475,988.948,1728.183,1033.153,3116.213,2256.682,602.807,0.000,1690.268
24,2579.463,1435.765,1690.135,2448.017,3261.993,792.482,1737.130,447.041,365.939,1149.908,168.478,1101.507,2692.275,739.030,1416.403
25,1515.069,3686.500,2625.132,4433.489,1636.149,2873.288,1902.261,2259.160,1870.533,1674.291,602.152,519.439,3496.447,1058.781,1736.269
26,4706.526,2847.270,5274.922,2522.103,3056.492,3769.086,5117.151,3887.116,1466.673,4911.917,5675.207,5501.690,7260.632,5002.583,5873.349
27,7989.851,5512.130,7159.296,9157.235,3458.171,8803.497,4931.385,9525.574,8282.676,7031.885,5121.271,5029.527,6860.958,6400.637,2274.787
28,9216.463,7196.149,12202.145,10134.398,7502.438,8072.232,8861.969,8160.094,6939.289,8009.733,10763.926,9486.878,9411.543,8574.651,8769.703
29,8961.643,11677.397,11472.671,12651.790,11034.261,12779.497,12453.753,11391.951,18051.323,6475.172,11549.959,8610.209,11406.291,12707.907,11480.233
30,16442.482,13691.608,9849.754,14807.423,16822.023,13717.018,16245.925,20172.199,18243.296,13159.283,10188.986,13739.652,16582.728,7139.055,12216.205
31,14877.963,19863.836,20684.924,19786.443,19704.333,12070.082,9536.260,25453.965,17320.809,17957.559,13356.363,22053.148,15015.003,13161.949,13845.943
32,16682.542,21357.110,18471.555,22091.878,27647.656,26414.918,19306.107,23613.888,29475.956,22811.741,23853.348,20547.387,18975.032,12398.655,22375.197
33,28980.954,30331.971,20803.057,24547.016,24850.655,20495.924,22681.622,28740.756,24118.582,23447.604,21893.611,25039.099,20295.841,27691.216,17963.865
34,26172.803,33074.353,30233.376,29175.206,27684.309,27406.979,27694.539,29085.876,26069.337,24209.282,27679.537,33712.939,30674.561,23895.135,21195.962
35,34591.411,27020.609,28694.330,27335.628,33431.898,26892.291,19352.203,34090.800,26781.604,23865.170,37935.918,27474.672,25659.371,26886.674,38583.206
36,35075.777,39489.158,35698.813,34860.302,35862.171,40550.078,31512.977,38069.898,25287.793,34209.848,26367.770,29220.581,27964.882,34249.775,29304.513
37,44788.131,33391.450,39150.783,28360.406,37184.623,33901.512,26735.786,37582.131,49379.524,33985.190,32160.642,34668.055,33701.444,44409.217,36978.207
38,39188.747,28974.256,37601.782,35162.336,26246.905,37979.093,40573.579,38406.570,32392.518,42192.420,39247.025,41723.777,46761.482,41321.730,19973.362
39,35200.084,39702.016,39113.950,44806.112,33712.072,36973.670,31189.673,42617.631,37702.053,39350.401,38620.195,41877.917,38918.905,31431.155,37663.001
40,47432.056,34159.631,46495.468,43590.410,39645.301,52738.199,33380.672,41808.715,44661.391,41279.041,53885.877,47160.023,38253.741,44760.190,36995.778
