alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.516,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.023,0.000,0.877,0.114,0.000,0.058,0.000,0.491,0.093,0.000,0.000,0.000,0.478,0.000,0.735
19,1.124,0.665,0.619,1.930,2.417,0.709,0.375,0.624,0.598,0.525,0.607,0.583,0.616,0.781,0.793
20,3.680,3.739,1.335,3.445,2.859,1.723,3.886,0.579,3.717,0.655,2.014,1.792,2.311,1.450,0.771
21,9.395,10.634,7.122,9.730,5.267,2.114,2.576,8.118,9.505,3.025,3.889,2.436,3.669,3.255,5.895
22,14.519,18.147,14.316,11.526,12.663,14.440,15.402,10.461,15.648,7.799,11.006,5.646,7.015,9.151,6.265
23,25.906,28.280,28.426,34.314,24.223,31.472,27.544,26.798,22.402,21.384,22.461,19.027,23.780,19.990,33.391
24,46.877,39.786,35.696,32.140,44.083,47.706,42.816,42.574,40.226,28.363,36.512,42.479,39.383,40.147,38.114
25,69.096,70.810,72.498,59.431,66.970,71.014,59.621,56.091,66.136,62.667,56.178,57.687,48.564,51.407,48.504
26,95.788,97.606,96.346,99.589,84.971,77.365,83.369,88.763,88.210,90.199,77.190,89.176,73.710,88.191,79.823
27,133.099,138.934,146.733,119.289,124.740,101.849,122.721,110.830,119.271,111.359,118.221,112.294,104.657,108.742,99.064
28,170.214,160.422,175.084,155.996,156.063,146.789,145.764,148.675,148.027,139.877,133.182,136.630,136.923,137.761,143.388
29,200.996,204.215,207.333,179.028,187.023,192.098,173.185,190.717,182.874,160.327,167.012,173.103,176.801,150.927,163.849
30,199.348,244.193,243.091,231.033,203.801,215.959,194.626,216.160,220.421,197.743,199.790,180.024,179.388,184.569,206.050
31,240.456,262.168,259.190,228.778,255.891,227.352,211.978,222.653,231.831,231.308,220.209,207.217,208.788,234.944,208.760
32,238.698,287.826,290.872,265.597,255.856,248.389,229.294,258.566,228.933,247.073,232.641,230.235,219.844,228.396,242.517
33,265.564,295.716,277.953,282.742,283.746,248.941,270.173,258.013,249.369,241.378,241.195,241.927,229.987,243.791,228.789
34,280.243,299.251,301.770,276.236,271.080,269.197,259.708,271.581,252.080,248.920,242.353,271.878,245.217,251.638,241.570
35,311.191,331.131,311.753,296.347,307.483,271.857,282.617,262.214,245.532,270.961,240.983,246.133,239.484,270.784,248.894
36,283.857,319.078,298.406,300.776,283.612,260.293,277.772,279.144,250.997,276.844,244.622,257.951,233.925,261.251,254.448
37,279.749,300.684,308.636,311.437,290.123,283.511,267.437,259.209,269.017,261.679,265.211,253.153,243.678,264.045,254.774
38,284.294,305.870,283.793,290.238,267.399,264.022,274.694,276.178,247.609,264.964,268.283,259.282,251.482,249.040,260.991
39,271.610,285.339,282.248,275.047,265.441,269.703,275.012,260.105,257.141,255.163,245.401,243.966,239.946,245.675,249.202
40,258.526,286.966,284.364,292.975,270.877,256.211,265.811,259.730,239.982,256.050,238.923,253.542,240.984,232.133,235.703
41,268.839,278.119,273.460,272.815,263.979,262.484,248.954,254.031,248.679,247.017,237.012,248.508,259.045,236.407,249.125
42,270.389,265.639,266.078,255.617,259.913,246.120,232.362,263.818,245.248,244.751,238.140,244.116,210.147,233.522,256.069
43,266.852,269.265,255.761,263.272,250.464,245.833,226.262,246.139,239.436,225.673,224.379,222.898,226.791,225.927,243.068
44,240.041,257.874,253.121,241.508,232.433,229.583,225.621,226.670,235.364,232.259,218.963,233.978,218.640,216.176,227.881
