alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,2.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,360.463,41.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,474.012,185.923,405.032,1073.698,49.192,640.502,126.325,32.694,5.825,190.560,0.000,359.824,0.000,115.315,0.000
10,1980.522,1890.745,2593.155,1239.615,1512.599,1216.576,727.515,682.869,1829.977,503.541,993.532,420.665,415.904,49.553,413.597
11,5595.977,7924.242,5519.786,6113.387,4078.348,5485.678,3322.951,4859.183,2583.416,2472.627,2084.528,1452.167,1387.182,1469.087,245.255
12,18809.520,20568.086,16805.148,16652.459,18966.409,12550.259,14776.227,10165.221,10040.193,6886.230,4644.797,4492.250,4032.211,1810.853,1287.887
13,44442.085,41367.354,44222.633,44047.734,47698.653,37795.179,31563.061,27941.759,30443.518,20464.352,17529.092,11212.826,11989.340,10457.240,5650.743
14,114772.735,116034.648,98316.634,99108.863,94062.915,88219.930,79775.477,71961.171,60749.722,55002.003,44512.738,35405.925,28662.640,26605.721,22523.786
15,229523.127,209702.594,218724.865,196137.206,206788.367,182596.906,177465.771,150611.005,130602.283,129663.373,93771.056,87804.019,73501.068,52778.993,46699.302
16,397378.583,413907.667,420100.785,398597.773,383350.047,371866.069,329672.876,289729.043,263460.550,242433.263,217096.592,194829.564,149853.386,126478.979,122984.986
17,722280.922,727465.651,718750.046,690341.842,670639.263,623095.869,599852.887,542610.818,514326.811,448815.482,404296.337,376569.440,330257.521,256508.092,250934.836
18,1220027.685,1198539.149,1165825.769,1123559.987,1098267.087,1081503.368,981607.066,951256.290,895577.320,829924.646,719867.055,662441.432,638894.848,537244.567,453418.288
19,1821434.865,1835708.286,1762727.965,1781128.980,1716144.500,1687820.319,1602135.827,1543135.422,1448363.606,1360427.984,1198721.267,1113553.171,1009572.581,912028.202,847389.711
20,2674875.384,2687349.882,2640219.394,2599714.443,2567062.994,2457666.032,2372772.799,2281081.125,2174412.190,2061912.398,1852828.402,1782683.673,1617983.689,1492588.463,1379830.965
21,3726559.271,3693970.023,3693803.171,3620288.483,3515111.008,3457200.511,3355018.380,3191306.079,3081670.658,2890507.923,2770346.756,2620845.248,2426973.502,2234291.434,2124172.426
22,4775778.135,4863320.702,4779892.407,4762572.725,4724554.275,4585509.050,4491149.907,4303938.803,4093333.620,3972899.157,3783021.157,3571438.590,3337088.144,3176623.596,2977032.895
23,6017557.928,5969749.578,5960535.927,5897448.665,5819724.171,5693948.331,5573911.473,5456336.943,5242011.372,5109286.440,4859225.478,4626354.061,4373688.435,4143022.331,3987441.069
24,7088859.498,7105738.309,7095019.538,7046820.992,6947869.109,6833933.735,6738989.307,6446184.626,6341440.233,6157529.101,5809254.450,5640048.370,5430857.728,5133138.805,4895797.367
25,8126964.996,8036454.179,8042784.971,7910849.546,7883070.744,7699640.548,7674914.078,7439104.275,7268253.981,7068712.282,6860623.105,6637535.181,6327462.289,6104590.852,5777326.504
26,8765292.653,8831815.331,8775144.876,8690159.640,8650723.046,8509317.049,8308919.580,8160323.467,7960750.534,7807875.657,7584526.141,7285687.929,7075267.988,6762823.723,6506523.710
27,9315847.267,9303061.491,9258151.045,9244106.231,9158460.914,9031760.964,8948275.339,8837811.227,8589651.989,8420659.624,8157042.561,7936749.755,7652625.446,7286208.585,7059743.067
28,9521227.474,9548512.534,9528453.728,9485428.508,9387873.055,9341735.144,9167143.926,9043867.595,8958413.460,8634023.386,8413767.622,8203758.810,7972389.171,7528868.172,7366608.454
29,9682298.753,9587453.101,9575878.619,9530722.709,9546568.439,9301185.784,9302610.280,9141750.107,8968267.520,8746422.336,8545275.166,8365576.749,8014601.284,7776689.270,7514603.060
30,9485084.735,9496524.699,9522318.265,9406462.713,9339165.566,9228634.792,9154976.875,8994197.725,9042694.982,8748154.093,8357201.306,8233641.131,7970510.755,7798897.112,7476971.180
31,9212929.674,9323043.422,9278292.428,9168023.396,9127767.905,9065118.450,9016450.557,8779691.106,8676830.268,8516233.625,8335709.378,8089523.392,7752775.891,7585616.648,7265196.837
32,9056331.834,8865429.127,8853336.471,8934758.520,8901643.056,8750677.446,8708672.424,8594867.286,8452712.666,8244374.702,8026728.464,7802660.354,7541764.084,7294191.364,7068272.456
33,8514277.263,8593758.780,8612157.936,8625608.649,8442899.777,8402023.979,8371511.559,8178315.065,8094751.763,7907386.355,7597094.116,7498629.335,7298227.124,7029863.710,6812423.310
34,8216593.575,8292413.872,8238438.171,8160474.996,8171819.215,8100922.891,7935975.228,7796958.490,7681606.214,7580212.741,7346226.497,7229572.940,6938649.807,6739739.514,6468116.076
