alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,49.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,49.651,0.000,0.000,0.000,0.000,7.649,0.000,0.000,0.000,0.000,0.000
7,14.235,23.254,0.975,32.926,59.610,1.074,125.883,0.000,0.000,22.371,0.000,0.000,0.000,0.000,0.000
8,281.354,273.694,49.940,70.181,207.796,42.549,58.652,27.819,95.365,46.383,14.777,47.923,86.682,17.739,0.000
9,616.802,829.272,662.022,656.984,586.719,491.355,410.169,354.635,204.088,142.182,127.645,33.835,68.470,25.422,20.234
10,2149.500,2104.340,2227.798,1818.328,1509.075,1520.344,1062.518,985.560,808.795,493.855,449.781,355.130,135.147,121.763,133.683
11,6219.985,6090.258,4610.161,4844.765,4863.353,3938.369,3353.989,3451.508,2178.129,1500.318,1450.260,837.206,741.329,268.094,300.385
12,13684.844,14274.004,12898.773,11951.445,11870.046,9881.396,9140.796,7884.241,5897.201,4373.115,3639.811,2177.277,1775.594,1219.148,846.117
13,30439.669,30139.399,26775.784,27449.166,24026.716,21539.038,19040.069,16342.158,13789.020,11181.811,7982.870,6078.050,4772.190,2876.927,2222.120
14,55636.448,51941.329,52757.838,49047.180,47027.636,42092.756,37028.546,31313.624,27418.947,22343.986,17648.879,13585.741,9802.771,7121.594,5537.464
15,93495.009,94870.556,90804.435,83934.015,82892.799,74228.936,66508.033,57742.068,49512.009,43004.361,33378.471,26156.774,19428.337,15069.525,10968.813
16,150825.083,147188.172,144620.336,137191.802,127109.474,119902.140,108955.520,98739.417,84125.774,72212.064,58467.287,48361.539,38118.845,28456.000,22947.153
17,221221.208,216079.792,211008.861,204538.066,195125.688,185416.131,168635.646,151323.038,131342.671,115433.322,95616.366,81729.985,65116.878,49982.772,39752.122
18,301672.662,304762.409,298928.510,288978.919,278598.038,260860.206,243582.389,221260.591,197784.682,177758.383,150353.296,128877.497,103543.980,81952.115,66650.191
19,406865.304,402356.314,395911.751,383896.699,371405.305,355972.761,333027.444,305391.607,277325.454,251450.906,217989.135,187110.513,156375.440,127513.378,104450.905
20,513686.586,509180.866,503668.145,489108.168,474991.165,462131.628,436063.286,400234.523,367655.185,339121.939,299005.322,258166.566,222178.953,182203.197,152142.411
21,619228.599,621822.456,613082.879,601825.611,585161.615,562032.996,539202.152,502845.122,470221.844,430035.394,386786.097,345477.439,293459.674,250965.621,212205.998
22,724362.797,721410.544,723726.551,704073.409,687474.576,673286.484,641006.165,608621.436,567061.144,533130.371,475863.514,436961.405,378314.807,330649.704,281338.988
23,819954.465,823318.207,812403.156,794796.943,785396.737,762710.492,739146.613,701747.362,666433.471,620290.221,573751.253,529534.440,467834.864,404199.043,355112.808
24,896460.574,890282.786,885838.651,870962.037,866888.240,846864.916,818974.059,783387.663,748189.207,717104.089,654269.804,611327.496,546760.332,486853.711,425733.946
25,941950.275,949411.126,946321.005,927363.399,923062.719,906696.535,885724.182,847889.900,819713.790,783480.210,734740.566,688504.867,622179.740,557806.667,496880.545
26,983745.419,981768.178,977384.087,958051.611,959059.832,945935.326,927585.663,901870.180,867635.023,836664.693,791220.495,750883.536,686635.347,621523.273,558943.567
27,989250.782,988778.931,988566.213,977842.965,974338.647,961285.425,945518.290,923654.300,895865.225,876204.107,828553.860,797433.572,734534.317,672213.196,611162.851
28,977634.913,981098.268,977391.723,970328.141,964698.395,952860.588,944756.938,929518.716,908521.878,892487.119,853756.929,817827.475,761561.170,706375.090,650118.698
29,946777.954,948062.568,949766.072,937961.520,943009.134,942754.526,928319.241,913863.379,902019.083,888290.138,852049.813,833908.698,785046.974,731997.041,678671.265
30,905281.011,906143.682,906900.316,899357.289,905453.071,899950.811,897736.055,886644.740,878512.660,867726.701,841670.254,821577.489,787662.322,739244.118,691289.138
31,852412.647,855006.755,852273.582,850851.655,856590.524,847015.185,851673.755,845021.869,840579.355,836131.662,819712.932,810808.956,769797.388,729831.680,682895.911
32,796106.734,796739.656,792354.203,790883.533,798754.137,796856.623,802924.284,798343.699,798056.756,796451.051,785266.281,776403.018,747392.505,720410.639,683646.555
33,731679.770,736606.652,732590.966,732489.053,741330.689,740535.211,743351.357,742163.155,748663.443,750074.689,740019.723,738953.601,718462.957,697082.029,661474.959
34,669199.853,671554.078,674320.621,668685.469,681083.233,677712.891,689692.443,690835.001,690915.323,703467.921,695583.864,698464.291,684523.549,666986.188,641054.022
35,611884.599,615955.169,612695.840,611660.416,622200.977,622280.521,633224.798,633311.468,638566.644,651025.837,650719.218,655025.058,643939.870,631821.908,609026.241
36,553569.447,560537.548,554902.763,555374.571,565040.051,570333.111,582020.605,581007.355,591260.898,600453.708,599648.699,611934.020,604343.461,596442.663,578649.547
37,502820.842,506296.838,507113.112,503738.631,513785.942,519851.883,527501.220,530017.819,540980.198,552272.630,557629.992,564950.636,565049.598,560440.085,551804.351
