alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,1.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.285,0.000,0.000,0.000,0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236
16,1.090,0.444,1.481,0.000,0.579,0.000,0.257,0.000,0.000,0.613,0.000,0.000,0.000,0.000,1.104
17,2.609,4.186,2.783,0.399,4.736,1.962,0.531,4.193,2.282,1.770,0.234,5.056,2.209,2.394,3.348
18,15.943,17.557,5.912,12.374,9.256,9.513,11.359,13.456,4.054,13.253,6.942,9.461,11.595,6.320,7.936
19,31.380,32.978,27.035,26.937,25.402,27.191,27.328,34.222,16.659,31.234,23.037,22.841,22.241,14.703,31.025
20,83.781,68.402,60.507,63.163,65.270,62.925,61.641,67.402,50.183,55.951,52.505,67.040,57.610,53.372,55.045
21,162.746,142.640,153.026,125.463,131.832,122.907,148.319,128.197,136.197,118.978,127.250,114.388,120.485,106.686,108.811
22,271.683,288.375,280.266,245.722,253.509,262.292,256.033,234.413,243.228,233.072,237.878,202.646,212.108,215.497,177.238
23,432.233,475.880,451.023,451.624,408.482,385.000,415.968,350.380,410.148,443.671,368.870,353.646,356.097,334.907,299.588
24,641.755,668.171,643.144,653.041,658.410,612.858,612.907,589.276,579.777,596.002,557.088,545.053,532.085,498.246,441.201
25,924.288,933.564,924.167,936.063,874.059,811.625,844.224,822.742,816.480,790.002,772.406,694.304,712.487,679.531,644.768
26,1153.947,1123.034,1156.235,1134.063,1135.536,1124.471,1073.401,1039.883,1027.954,1076.159,994.792,959.891,948.530,889.198,862.344
27,1409.418,1423.968,1481.796,1422.430,1415.112,1400.505,1322.783,1290.160,1268.630,1341.279,1184.081,1212.448,1141.125,1107.009,1101.079
28,1663.650,1631.592,1677.660,1662.667,1625.557,1586.356,1551.868,1544.076,1562.070,1549.627,1427.783,1397.917,1387.226,1340.053,1315.107
29,1820.834,1838.387,1888.988,1845.103,1800.533,1757.257,1742.437,1742.056,1716.850,1729.407,1584.278,1551.885,1534.285,1518.937,1434.303
30,1963.078,1970.857,2023.241,2039.340,1986.898,1912.105,1858.808,1868.035,1899.928,1898.144,1758.397,1678.975,1722.840,1617.130,1589.816
31,2068.200,2059.808,2127.457,2119.302,2068.944,2001.964,2035.194,2015.624,2007.987,2006.393,1960.118,1784.041,1847.909,1756.094,1716.885
32,2180.583,2146.162,2120.016,2191.041,2145.284,2089.650,2071.880,2031.227,2094.570,2045.877,1917.072,1805.130,1885.196,1803.772,1749.280
33,2146.328,2125.323,2174.788,2215.623,2125.745,2112.980,2031.910,2020.889,1991.958,2090.882,2013.107,1877.044,1933.964,1859.779,1770.013
34,2145.922,2077.091,2207.367,2126.687,2101.404,2017.473,2057.532,2039.148,1999.877,2022.892,1968.342,1857.188,1865.593,1876.667,1805.561
35,2049.942,2077.873,2074.996,2096.833,2022.965,2052.785,1988.460,2041.043,1973.041,2040.923,1962.267,1836.172,1876.573,1770.240,1822.587
36,1989.954,2025.431,1988.979,2007.913,1992.278,1942.331,1905.686,1957.413,1871.286,1936.481,1898.739,1785.514,1861.724,1809.971,1777.008
37,1923.578,1856.176,1986.684,2022.112,1895.700,1864.250,1953.912,1881.511,1866.994,1855.171,1819.382,1753.618,1728.875,1712.470,1651.768
38,1854.673,1822.290,1827.172,1877.992,1800.746,1836.066,1811.670,1854.027,1771.001,1802.227,1717.337,1647.275,1715.129,1688.305,1627.242
39,1767.874,1702.887,1796.041,1794.380,1761.038,1741.250,1702.381,1724.403,1692.593,1726.597,1678.906,1577.653,1679.468,1591.673,1582.183
40,1649.333,1698.898,1652.815,1647.513,1673.446,1610.437,1652.427,1610.993,1622.403,1641.261,1609.508,1554.183,1558.186,1510.384,1452.121
