alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.337,1.638,4.605,0.717,5.120,0.000,0.000,0.133,4.465,1.958,1.171,0.000,0.000
15,3.023,4.455,5.754,1.287,5.039,9.644,8.662,8.093,8.823,3.408,5.778,2.937,11.809,1.118,3.728
16,43.230,34.091,11.177,15.673,21.352,15.973,23.803,13.499,20.868,23.065,24.612,13.423,8.520,10.411,8.911
17,102.178,78.094,68.228,47.397,65.070,35.359,62.942,47.731,45.504,52.323,41.219,50.358,25.311,25.265,35.176
18,193.866,205.215,191.383,191.756,176.895,173.515,165.184,162.465,171.724,115.217,95.861,123.384,93.771,86.779,83.123
19,437.692,425.464,425.092,370.101,354.047,347.372,414.851,348.971,323.689,272.189,270.572,229.426,267.365,248.672,207.287
20,888.258,831.470,813.638,772.106,764.818,722.753,780.484,703.440,620.980,558.454,539.026,551.052,526.816,456.255,450.577
21,1572.315,1444.999,1360.231,1453.273,1295.218,1291.579,1306.781,1201.879,1208.247,1063.223,996.390,924.769,874.656,861.212,803.848
22,2335.203,2261.918,2263.637,2232.863,2187.536,1978.623,2092.346,1950.943,1904.616,1811.595,1662.658,1528.978,1419.930,1466.943,1372.042
23,3434.756,3412.391,3290.724,3203.484,3129.008,2966.431,3063.756,2870.188,2824.981,2597.315,2469.179,2349.828,2213.677,2149.215,2095.165
24,4774.012,4627.901,4561.176,4392.901,4459.868,4169.618,4147.354,3845.919,3775.366,3666.290,3720.107,3328.967,3229.437,3087.670,2895.067
25,6016.166,5931.661,5780.810,5622.630,5653.614,5394.418,5525.525,5166.976,5124.558,4799.693,4798.300,4357.970,4173.457,4041.600,3843.877
26,7322.061,7070.296,7076.414,7018.603,6828.420,6505.819,6672.380,6424.871,6176.130,5944.070,5772.274,5468.625,5294.858,4976.018,4840.435
27,8310.154,8196.507,8135.050,8146.603,7968.525,7725.778,7749.151,7426.253,7321.790,6970.054,6838.513,6483.668,6378.701,5887.323,5725.185
28,9236.675,9206.345,9103.355,9097.616,8930.516,8537.128,8635.018,8342.240,8125.928,8023.709,7565.155,7179.491,7127.347,6804.701,6387.080
29,9837.340,9898.135,9702.353,9701.608,9572.673,9291.058,9498.310,9058.094,8791.373,8711.303,8275.218,7962.253,7847.141,7477.344,7067.029
30,10447.903,10336.331,10099.605,10170.404,10069.062,9591.600,9594.974,9405.051,9155.330,9203.312,8675.107,8424.339,8187.946,7842.180,7705.542
31,10529.019,10559.219,10231.903,10410.778,10461.270,9702.686,10066.389,9682.084,9631.792,9316.602,9051.146,8780.199,8577.177,8312.005,7959.344
32,10578.291,10383.442,10416.972,10350.828,10377.704,9890.739,10113.448,9807.121,9539.758,9354.245,9134.772,8962.781,8782.420,8469.789,8123.852
33,10329.939,10272.491,10105.220,10173.228,10002.308,9566.036,9747.113,9519.442,9470.059,9226.662,9026.015,8911.315,8529.361,8253.563,8114.873
34,9829.183,9937.571,9754.625,9784.107,9812.101,9469.157,9543.036,9200.672,9196.169,9019.516,8868.198,8534.716,8485.040,8258.053,8052.217
35,9370.103,9376.625,9401.097,9311.548,9331.846,9002.318,9277.067,8709.038,9015.372,8719.745,8714.394,8384.096,8281.771,7952.006,7690.880
36,9096.767,9190.503,9095.929,8953.967,8905.502,8665.620,8637.347,8534.613,8460.439,8369.692,8203.897,8128.860,8010.466,7666.510,7566.435
37,8606.559,8404.989,8424.817,8369.236,8386.049,7973.832,8295.392,8148.502,8012.076,8026.851,7833.967,7604.594,7632.384,7228.292,7185.404
38,7964.906,7971.697,7982.071,7999.166,7813.593,7634.910,7832.409,7545.338,7646.878,7487.036,7445.951,7217.671,6917.909,6910.555,6856.924
39,7509.188,7594.261,7439.080,7334.649,7470.964,7213.393,7332.527,6971.629,7155.842,7065.530,7134.202,6975.798,6809.726,6661.866,6596.876
