alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,24.364,0.000,6.313,0.000,7.707,2.212,0.000,0.000,0.000,4.002,0.000,0.000,0.000,0.000,0.000
6,153.673,275.962,54.096,56.472,90.179,353.039,102.378,0.000,76.988,23.684,0.000,0.000,0.000,31.664,0.000
7,791.482,492.793,242.527,184.689,561.630,413.504,267.968,235.478,57.767,77.673,16.664,36.057,3.064,4.388,0.000
8,1625.374,1637.424,1394.517,1089.137,944.212,1108.400,998.181,627.766,499.361,193.542,327.206,105.314,53.725,38.809,24.255
9,5152.512,4983.206,4588.300,4416.629,3552.677,2985.351,2876.803,2657.426,1844.389,712.066,894.245,407.531,547.202,45.747,197.859
10,14485.349,13090.815,12671.915,11276.759,10425.160,9186.379,8420.848,6058.405,4580.875,3916.578,2361.418,1565.490,1152.248,631.815,490.024
11,32139.368,31723.605,29048.402,27260.438,25999.994,22921.086,17656.330,14753.609,11849.223,9660.977,6735.812,4400.144,3038.816,1416.913,1095.868
12,65973.845,68027.404,65835.151,55787.927,55884.737,48484.170,42279.376,35485.813,28149.636,22906.726,16601.353,12455.462,8520.982,5041.738,3929.248
13,122726.464,121613.706,117600.768,109888.760,104233.857,97399.649,81257.307,66914.723,59178.630,45823.224,38207.857,24898.339,18432.503,12118.517,9432.954
14,211312.163,208027.680,198481.471,192404.924,185209.532,166092.728,143219.422,125843.872,109846.106,87562.232,68239.959,55573.348,39227.744,26441.129,20623.064
15,332791.441,328571.034,321568.206,305663.194,288265.148,271096.317,238006.093,211035.359,182005.792,156151.511,121230.353,100104.125,72866.238,54302.272,39368.682
16,487831.593,485462.673,466052.645,456036.658,435022.523,406763.087,368071.347,330740.419,291742.513,249633.445,201411.327,163118.295,126213.446,95282.937,69151.493
17,665805.712,670695.265,649008.372,638961.372,606149.652,578268.816,529709.766,484056.219,424159.030,372627.123,314129.438,258860.169,202687.917,156662.692,122125.007
18,880121.638,882449.354,862571.303,840435.150,807103.214,775486.479,713760.152,659961.724,594711.169,534215.931,450487.809,376494.230,312605.068,243945.090,190308.698
19,1102586.098,1105707.251,1083637.518,1056412.337,1039954.048,1000400.955,929671.317,866429.829,797174.541,708911.503,614448.904,532052.350,437810.538,357362.918,290888.445
20,1337422.493,1334811.500,1317935.152,1288513.886,1254631.662,1217319.648,1151329.908,1081763.962,1004116.535,916798.089,806058.111,708751.225,598697.225,488369.912,396702.583
21,1552406.869,1552064.793,1539803.698,1500360.745,1486847.977,1445050.883,1378233.741,1300350.106,1218115.766,1114441.455,999641.646,903035.970,774834.637,650392.370,534315.976
22,1766256.307,1753960.284,1730802.922,1700946.403,1681223.007,1638220.322,1584821.091,1510645.680,1413445.292,1325842.259,1210025.643,1102084.646,958780.626,808922.559,690533.522
23,1918068.409,1905607.045,1887586.666,1867074.889,1845284.650,1816938.783,1744302.664,1674720.222,1602171.294,1515506.929,1396141.754,1281803.417,1144561.838,982587.442,847416.995
24,2037610.761,2016855.638,2000467.690,1989198.566,1976859.223,1945824.999,1890437.123,1835993.441,1756091.806,1665289.112,1562544.346,1446107.911,1314589.809,1155039.216,991982.086
25,2096270.700,2090159.308,2071690.932,2065536.975,2046148.974,2031919.661,1979293.996,1933303.107,1872303.458,1800157.282,1697450.005,1582925.766,1454436.660,1292685.829,1145755.101
26,2109422.661,2115508.841,2108215.448,2082161.144,2091778.940,2065903.498,2038283.952,1991099.924,1944000.986,1877207.369,1786521.902,1694949.263,1569109.792,1408062.188,1258777.026
27,2104793.931,2092909.764,2085188.286,2078258.621,2094237.523,2075810.473,2045673.901,2008753.696,1968260.890,1929511.944,1844973.446,1768149.906,1659560.071,1511214.043,1355693.329
28,2032430.078,2032679.955,2023545.386,2018977.190,2034621.518,2023340.394,2001660.317,1980551.694,1951452.137,1923578.845,1865811.943,1794070.721,1710170.854,1565761.059,1432936.492
29,1947987.239,1948153.411,1942014.420,1949411.973,1955721.836,1955900.249,1943312.135,1932581.142,1912594.252,1885199.080,1847377.156,1801453.754,1719002.135,1600110.638,1474940.469
30,1834045.962,1839095.718,1832782.662,1835331.293,1862302.792,1851746.208,1845984.768,1845917.008,1849399.855,1837573.167,1798715.971,1771857.401,1699944.426,1608602.089,1495116.655
31,1709037.109,1713150.762,1711294.621,1720550.523,1734550.907,1739107.233,1743398.090,1751263.770,1752346.852,1740604.235,1726868.655,1704981.932,1672149.547,1585366.712,1495556.417
32,1581817.733,1582277.713,1581146.013,1583647.018,1605725.546,1611084.589,1621272.676,1630439.891,1645825.611,1638340.014,1641671.825,1637446.649,1609190.672,1532954.195,1468335.445
33,1445115.437,1439513.416,1439818.029,1450973.079,1469148.989,1481748.001,1492454.862,1510180.906,1530282.597,1537862.816,1543837.273,1548215.985,1530238.301,1479131.829,1419156.140
34,1308881.135,1312493.256,1312610.496,1321700.350,1342605.141,1361095.964,1365576.239,1389926.247,1402490.993,1427334.689,1434459.608,1451463.058,1453027.144,1416781.587,1361538.413
