alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0.000,0.000,10.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0.000,1057.053,0.000,0.000,1139.523,147.704,0.000,0.000,0.000,1161.771,0.000,0.000,0.000,0.000,0.000
26,1156.126,0.000,1096.500,322.874,0.000,147.704,0.000,0.000,0.000,0.000,12.578,0.000,0.000,184.035,0.000
27,0.000,1025.769,3289.499,277.489,145.184,1355.323,1182.477,0.000,347.064,156.126,636.601,1415.177,1426.697,1872.731,252.358
28,351.934,2355.670,147.673,0.000,483.042,639.131,0.000,460.895,208.692,492.473,366.067,159.928,241.231,244.235,1872.813
29,637.379,1156.460,325.102,1254.546,483.042,1602.416,1494.668,737.950,1864.699,0.000,405.405,372.170,1426.697,0.000,190.156
30,604.117,2312.920,760.152,2012.220,1429.890,883.466,501.250,460.895,496.203,503.160,2235.141,3414.766,2090.930,1688.696,1872.813
31,3193.297,1983.354,2888.902,2112.391,820.900,3173.327,426.545,1704.307,1824.424,1605.826,579.615,1415.177,3216.937,4885.490,412.981
32,2752.669,2677.091,1554.003,1256.044,1912.932,2022.932,2083.603,4299.884,3691.267,3986.155,1178.613,851.954,363.544,4311.005,4103.570
33,2733.888,2212.783,6227.880,6110.661,4904.233,5367.347,3486.242,3370.813,2495.912,444.055,4113.791,799.640,3542.073,1866.058,4217.443
34,7302.700,5871.421,5002.494,3449.297,4440.427,4173.950,4227.896,3085.755,8247.029,4814.714,5619.624,3936.665,7461.651,3855.285,4250.342
35,7337.932,7279.252,7294.559,4224.818,4103.188,6869.586,7244.798,6658.903,10721.933,12242.412,2806.563,7513.207,7511.553,3170.828,1928.851
36,7604.198,6365.127,7088.794,6801.563,9059.672,4644.387,3485.979,3647.413,9811.233,7446.614,7768.670,4115.917,8084.838,7744.881,8755.848
37,11439.044,7179.871,5598.000,5631.256,6391.361,11849.172,4811.245,5268.606,7543.996,10610.259,8826.720,5970.642,10121.392,5472.479,2629.421
38,7606.703,12479.985,7000.483,9701.461,7430.799,8877.333,7449.789,9214.176,4834.153,9745.596,4774.909,12930.202,7107.069,5692.840,6955.167
39,9244.906,10470.227,11286.609,8453.558,9468.673,11086.420,9524.308,10695.098,10850.602,10757.776,10931.186,6282.509,12272.257,8214.825,14288.712
40,10586.689,13097.345,13136.493,11638.703,7322.811,7477.974,10412.048,9713.650,8877.070,7277.080,7727.789,7959.290,7246.442,10206.459,9756.438
41,13968.359,10496.888,14225.401,17038.235,9729.325,10980.794,14397.085,13904.071,14247.634,7533.144,9915.757,10821.690,11252.364,14414.530,10653.374
