alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.613,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0.585,1.466,0.000,0.000,0.000,0.000,0.000,0.108,0.000,0.000,0.000,0.767,0.000,0.000,0.000
20,0.508,0.130,1.541,0.377,0.678,0.000,0.241,1.209,0.840,0.029,0.532,1.519,0.840,0.051,0.034
21,2.709,1.650,0.321,1.912,1.665,2.667,1.877,0.891,1.824,1.674,0.071,0.241,0.954,0.592,2.032
22,2.708,1.646,2.508,4.368,1.912,4.905,3.171,1.203,2.831,3.353,2.326,2.902,2.866,0.972,3.826
23,6.336,5.091,5.269,9.574,8.423,5.051,12.966,6.430,5.588,7.158,8.636,6.630,7.288,4.019,8.742
24,14.965,8.520,8.983,12.344,11.325,12.856,17.886,11.981,11.896,11.225,14.920,13.429,8.047,10.427,10.314
25,26.847,24.241,19.669,16.237,17.392,17.623,17.254,23.718,17.715,19.673,18.417,22.490,18.774,17.384,15.992
26,28.748,31.460,43.263,35.382,37.427,33.254,31.630,37.791,33.368,30.848,30.099,34.482,32.890,23.248,22.692
27,42.129,40.780,39.215,40.425,49.264,44.426,42.478,47.710,37.874,38.291,39.202,46.029,36.878,32.633,33.304
28,54.791,57.408,67.836,62.706,66.868,57.640,62.589,63.384,52.348,43.958,56.213,51.443,47.065,40.918,45.134
29,76.389,73.552,71.250,69.044,82.895,64.478,69.930,72.812,70.275,69.596,72.363,73.820,53.600,55.948,75.012
30,80.374,76.670,91.390,87.784,86.748,80.477,81.964,87.218,83.946,74.280,87.246,85.041,81.252,83.719,75.961
31,97.338,106.917,87.348,102.992,112.869,99.747,95.196,90.228,89.535,83.129,91.483,87.552,83.655,83.280,86.448
32,112.184,99.938,106.081,102.884,102.683,100.765,107.411,102.754,106.169,92.870,107.977,104.722,103.760,86.040,86.738
33,124.925,119.231,106.803,104.199,116.615,117.488,115.591,132.539,104.312,103.589,105.439,94.164,110.183,99.951,96.861
34,123.159,120.363,126.062,115.231,125.640,108.509,123.104,113.407,119.029,106.599,118.686,97.997,112.379,108.005,96.064
35,140.019,132.994,124.203,122.468,129.075,126.495,110.792,121.095,118.919,115.385,108.213,104.637,119.357,115.262,120.019
36,122.579,132.163,138.567,124.869,143.248,138.238,131.579,134.109,118.980,121.776,122.136,112.215,128.084,118.356,102.843
37,133.482,131.657,122.106,127.724,136.217,120.200,125.854,129.011,123.043,124.989,129.980,101.447,125.120,108.526,120.759
38,130.232,134.253,141.644,117.504,133.382,126.386,115.407,128.152,122.131,125.257,123.621,108.234,133.242,107.407,106.743
39,134.277,134.888,127.883,128.455,131.954,121.064,116.341,129.059,125.579,121.605,120.905,120.945,126.958,125.174,114.449
40,126.146,129.250,128.218,131.230,128.205,135.360,115.617,134.935,139.471,115.091,117.498,100.032,136.360,118.796,120.235
41,133.064,125.446,124.608,129.955,137.433,123.081,129.208,139.577,125.038,121.965,120.098,111.387,123.931,107.265,106.093
42,136.556,117.754,148.815,121.138,133.861,123.483,122.096,141.718,129.987,115.007,126.038,105.542,135.783,115.981,115.767
43,127.193,125.060,132.461,129.332,126.277,127.403,121.177,118.926,111.766,125.423,122.393,112.281,119.609,130.748,116.132
44,132.251,113.745,124.322,126.447,120.977,109.410,114.145,120.255,124.544,113.014,116.467,113.074,123.051,105.342,107.211
