alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.000,0.263,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.000,0.503,0.000,0.000,0.000,0.000
21,0.569,0.958,0.991,0.112,0.000,0.407,0.045,0.000,0.000,0.000,0.452,0.000,0.071,0.000,0.000
22,0.438,1.795,0.963,1.051,0.000,1.045,1.674,0.176,0.148,0.457,0.931,0.241,1.145,0.614,1.087
23,1.125,2.791,1.443,1.399,1.354,1.562,1.724,0.924,3.430,1.282,2.260,2.314,2.128,0.278,2.321
24,4.105,3.453,4.532,3.899,4.448,3.587,3.486,2.450,1.772,2.200,0.728,1.461,4.029,3.322,1.285
25,3.780,5.176,5.089,5.986,3.610,5.390,4.887,7.203,1.851,4.365,1.849,3.516,8.607,4.629,3.094
26,7.821,10.215,11.374,8.534,6.868,6.419,7.394,7.327,7.130,7.448,8.829,13.650,10.890,8.226,6.892
27,14.901,14.014,17.099,13.610,9.568,14.007,9.811,14.697,14.637,16.765,11.672,14.533,13.331,7.692,10.054
28,18.484,19.217,23.214,17.226,17.793,15.041,14.696,19.000,15.262,14.638,16.406,17.380,20.934,14.789,16.649
29,21.802,24.981,21.526,24.057,23.781,20.202,20.448,19.355,28.659,18.177,18.910,21.020,21.680,19.459,20.690
30,31.001,28.179,26.472,26.803,29.227,25.517,24.684,32.786,29.433,28.520,22.068,20.594,27.351,18.210,22.706
31,30.034,34.531,38.015,33.698,34.955,28.923,27.154,38.697,32.493,26.814,26.150,37.631,30.310,28.585,27.755
32,31.141,40.126,39.821,44.343,45.462,38.978,32.750,45.076,47.849,39.572,32.484,41.019,30.821,27.460,34.591
33,49.043,45.216,51.066,47.068,39.793,38.730,41.924,44.567,42.072,39.283,40.491,48.051,39.252,38.177,31.928
34,44.590,52.579,53.278,52.827,49.452,44.688,44.067,48.387,44.508,42.312,40.954,53.641,54.364,39.516,40.503
35,54.383,54.454,56.209,44.427,53.929,48.442,36.540,53.396,47.982,49.704,49.318,51.677,44.743,46.754,55.614
36,57.585,59.426,59.588,55.324,48.745,52.874,44.780,65.128,49.045,49.620,48.601,53.370,42.977,55.414,51.323
37,61.577,55.649,62.062,48.725,51.239,55.265,40.295,53.294,62.470,50.237,54.097,53.977,51.947,56.043,50.525
38,56.491,60.582,57.485,51.661,50.882,53.258,51.087,57.538,56.922,58.521,60.925,60.545,62.549,52.325,43.891
39,60.309,56.230,62.046,62.985,48.882,58.012,43.965,66.872,58.200,60.380,55.454,66.889,64.105,54.518,55.660
40,68.767,55.817,68.638,66.954,55.715,57.973,45.339,59.575,63.523,60.710,64.488,60.481,55.655,53.438,52.929
41,55.677,60.135,70.271,57.993,61.103,61.020,48.640,65.548,62.317,58.743,58.705,69.009,59.600,54.570,52.604
42,68.232,61.880,71.020,64.020,60.191,58.214,57.681,71.435,55.240,55.315,64.584,65.309,60.708,50.324,62.693
43,60.568,55.249,64.827,64.335,59.287,59.174,42.491,64.669,64.591,58.690,53.041,63.632,64.732,58.148,60.726
44,54.264,69.005,57.274,59.198,57.515,51.714,54.718,61.847,54.314,56.217,60.751,64.643,68.429,62.785,60.952
