alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,95.086,0.000,125.823,163.508,0.000,0.000,129.219,0.000,0.000,0.000,0.000,0.000,155.358,0.000,0.000
23,122.821,0.000,0.000,163.508,0.000,1096.335,129.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,399.488
24,0.000,1969.476,0.000,0.000,251.954,119.479,1143.439,0.000,1202.794,1095.733,143.660,0.000,0.000,1290.860,222.369
25,122.821,122.284,0.000,0.000,1163.146,1296.211,129.219,1423.933,1664.852,139.605,0.000,0.000,155.358,1290.860,335.118
26,1332.461,1370.708,2267.927,1500.147,251.954,2816.285,1486.415,1476.012,279.609,1374.942,111.219,1506.178,2122.770,1727.387,222.369
27,3671.757,4190.778,2565.259,4612.052,922.139,477.917,429.926,2773.858,2721.905,1791.149,1508.863,1210.143,2046.988,2328.378,612.296
28,1111.644,3147.170,2117.617,3310.985,2646.424,484.734,2949.272,3767.075,3924.699,1839.421,3369.272,3633.217,5406.651,2049.304,3690.444
29,3218.722,5601.450,3548.293,3593.231,3634.656,4695.452,4912.332,2410.483,862.497,3706.367,2279.029,3418.667,5211.210,2635.371,7279.556
30,5708.820,4144.658,4185.467,8655.242,3884.844,3205.430,8250.318,6306.535,3941.100,4911.573,11482.247,4429.833,10339.514,6231.322,7424.698
31,7592.676,6214.397,6049.682,8446.965,7493.879,7385.353,7711.584,8472.576,11017.787,4680.824,6725.812,5462.956,6245.477,7839.697,5281.390
32,13242.625,11005.163,6446.045,9780.805,9702.541,10327.032,6950.397,9009.779,8216.315,1093.078,8396.049,8258.684,11442.598,6741.093,12331.182
33,7761.826,12441.485,12941.845,9185.973,11806.524,14906.441,9329.328,9624.574,10896.445,9199.784,10490.998,11482.510,9984.255,13698.087,18076.139
34,10952.984,14366.798,16724.852,8491.111,11963.336,11095.692,13511.732,17103.949,9441.490,12291.281,12773.270,10564.083,14499.699,10507.242,13280.156
35,15096.751,21259.034,14200.782,11296.059,13531.136,11901.361,17863.560,13902.519,19500.014,11412.977,11858.252,6439.998,22978.124,15112.281,10227.685
36,11054.128,16840.212,16354.041,17423.471,13642.875,19382.894,11445.713,17927.147,12323.262,15393.428,14747.318,12848.090,11241.544,16215.513,8778.268
37,12742.368,21406.261,23417.169,16429.255,21966.757,13659.181,22054.355,15735.572,15004.687,19619.210,7036.604,21141.083,17825.891,13929.576,16395.419
38,14404.265,17796.852,16747.089,13959.924,15500.540,20756.150,17751.161,20700.266,13618.510,19196.045,18301.707,9813.295,14352.097,10778.485,14565.519
39,28150.578,20589.515,21089.197,16337.495,18512.199,16216.729,28125.397,18770.236,26461.465,19683.726,25036.869,15791.920,17141.439,23622.943,16783.420
40,21879.631,16693.742,19362.868,27145.320,22614.055,29232.326,20904.567,22925.965,18044.607,18838.937,26219.001,22647.780,19979.044,23075.613,24981.976
