alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,2.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,64.116,2.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,54.113,87.663,23.532,133.802,14.817,68.317,75.597,10.073,6.590,39.532,0.303,8.267,0.000,15.952,0.000
10,274.028,266.416,291.585,206.191,359.942,88.306,172.079,137.998,217.360,116.265,90.475,7.437,26.392,13.543,0.422
11,749.360,966.797,642.916,822.731,697.262,536.470,539.841,455.456,272.785,217.639,212.218,128.728,68.383,102.526,62.169
12,2348.944,2190.186,2235.589,1896.017,2525.943,1838.580,1369.545,1251.680,671.062,799.384,627.473,354.532,400.203,162.917,82.142
13,5779.646,4981.639,5060.983,5053.039,4829.241,3899.164,3408.651,2760.827,2933.974,2003.584,1550.572,1105.363,964.918,826.379,544.494
14,11905.612,12316.644,11073.229,10491.085,10510.390,9051.473,8171.908,6780.120,5814.435,5450.477,4042.223,3017.210,2258.908,1626.625,994.852
15,22603.609,22313.287,22393.733,21377.102,19487.322,17895.144,16532.778,14418.485,11387.145,10096.928,7816.745,6354.404,5303.489,3759.245,2848.017
16,37893.119,38694.689,37610.360,36292.934,35264.191,32436.119,28784.698,26138.236,23683.655,20013.693,15881.332,13191.278,10796.914,8059.844,6837.146
17,64325.247,64363.899,63226.902,59599.986,57299.078,55105.911,49754.504,44242.721,39527.860,34173.392,27910.631,24320.273,19752.708,15568.755,12836.788
18,93651.912,95103.644,93647.599,90940.480,84796.886,84459.287,75531.887,69623.248,61824.000,55381.236,45668.728,39569.858,33530.742,26318.364,22088.051
19,135830.937,135770.034,132562.121,130566.911,122510.119,118571.376,110102.962,103916.155,91284.500,81743.852,72076.989,62625.654,52633.969,43667.424,37301.901
20,180890.963,182848.878,179919.533,173735.880,169619.048,161490.445,153997.317,141651.066,130646.506,117500.814,102794.815,92422.945,79215.488,66475.288,56583.614
21,231683.824,235000.986,229865.102,225738.292,218528.802,210002.707,200084.341,185669.635,173994.026,160154.458,141066.944,126859.429,111576.249,95106.867,81978.258
22,282959.533,286495.789,281615.131,273932.165,272415.997,258374.586,247758.712,233137.208,219559.663,202627.974,182328.563,168186.305,148788.629,126941.359,113486.863
23,327207.282,336343.059,332753.254,324855.299,319339.966,305837.347,295695.160,282584.177,268460.306,249706.601,227740.527,208125.259,186961.084,165749.587,144087.496
24,372521.526,377785.211,372686.809,367970.337,361933.571,352170.838,339407.216,325885.236,311724.946,294838.125,269719.170,248095.284,225224.163,203310.429,178896.837
25,407864.624,417200.651,411930.626,403147.961,396808.324,386302.686,377422.909,363642.452,348496.016,333083.469,308241.856,288010.334,268151.788,236097.902,213598.825
26,434853.139,438709.626,433444.207,427382.264,422210.147,413860.626,402183.527,394966.614,380843.072,362233.935,339848.943,319827.760,297868.599,266825.142,241957.431
27,449960.316,454184.756,450357.144,441516.843,439325.942,435165.818,423544.557,415105.991,402235.448,387532.305,363599.253,344459.515,322569.012,291236.301,270216.995
28,449050.203,455117.603,451745.066,449451.723,442301.003,440231.069,433109.112,422886.866,411478.467,399075.569,381199.145,357778.034,342694.787,312155.841,288337.075
29,442184.506,448282.684,444140.349,440388.624,439419.126,436807.075,431032.609,423587.022,413855.490,404285.085,385822.347,370543.489,354152.429,326679.707,305295.738
30,431091.002,434500.814,434580.094,429770.769,427356.749,424605.844,419301.975,415786.862,411763.040,401132.547,387089.338,369775.703,358188.057,331671.526,310662.818
31,409753.709,414756.157,413414.046,409949.872,408515.885,409262.280,404854.792,404550.275,398644.531,391049.806,379837.395,363715.301,357194.949,332030.271,310980.620
32,387224.726,390455.203,388121.494,385475.330,385103.169,386281.286,383101.444,382836.493,381931.157,372937.450,365471.837,357353.469,347615.229,329031.161,311632.009
33,359177.978,364785.878,364192.240,357511.296,361352.964,362984.350,358713.049,360034.951,358312.393,354889.633,346685.680,340847.727,336667.348,318583.075,304686.293
34,331486.661,336404.197,334378.493,331316.564,333249.464,337498.154,333724.274,338637.062,337183.288,333814.168,327831.006,322943.820,321448.762,305358.639,297155.571
35,304424.603,308241.183,305694.087,306474.688,306922.632,310785.215,309121.404,311731.373,312498.601,311384.344,308201.770,305178.138,304221.949,295788.869,285651.729
36,279405.118,281555.204,279487.520,281115.776,282228.983,282995.327,284091.450,288020.528,290726.318,289420.308,288944.170,285507.585,286068.861,279450.260,273561.351
37,253172.162,255797.911,256602.697,256592.535,257926.777,259447.278,263172.144,264125.052,265676.506,269026.985,266581.009,267251.705,268995.753,261485.249,257962.167
