alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,165.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,104.407,0.000,0.000,0.000,0.000,316.263,0.000,0.000,0.000,0.000,0.000
7,0.000,101.127,50.772,89.624,89.614,56.390,742.414,0.000,0.000,40.294,0.000,0.000,0.000,0.000,0.000
8,1492.092,1619.659,79.277,324.603,1092.478,1053.560,188.345,164.841,173.024,43.203,82.483,55.801,386.532,0.000,0.000
9,2873.387,4117.029,3730.781,3422.636,2711.679,2006.474,2834.918,1867.225,1800.504,287.427,961.505,228.249,115.941,154.660,541.239
10,13161.237,11290.607,9663.999,10344.598,7161.147,6424.780,5386.126,5788.481,3603.209,2517.695,2132.456,3068.655,670.200,525.703,1446.747
11,31283.776,33180.870,34686.797,30817.631,28303.110,24281.274,20231.602,24246.929,13814.261,9053.772,10761.176,4686.531,5233.406,2896.211,1814.940
12,93709.360,86129.951,68161.417,72729.386,67784.855,62899.797,53277.269,49087.171,40605.476,33282.679,22720.090,18023.873,15722.439,9619.723,7596.481
13,184702.652,167000.860,169743.479,166319.659,156155.497,142423.597,123761.897,103941.740,94580.899,80360.270,70677.740,43001.746,42190.856,24901.775,22811.169
14,357895.270,360668.767,342386.907,322994.172,314427.191,290091.542,256402.330,218363.056,208289.640,184476.063,126257.823,119652.002,93969.444,70502.799,57762.122
15,660429.785,643134.084,622858.730,611813.164,556229.848,531470.063,496680.858,458460.640,378289.846,344229.498,288999.303,241005.045,195891.287,156113.052,132611.543
16,1077642.816,1080062.514,1065938.611,1038714.815,1001756.491,927695.726,844075.028,803709.175,718332.204,634716.786,537582.952,480489.960,408776.715,329409.509,292339.465
17,1782944.289,1725500.613,1690829.415,1669827.936,1580854.144,1546245.832,1463370.076,1317398.275,1245730.087,1112652.813,978189.946,863619.311,740882.577,635863.041,563238.504
18,2647620.174,2693657.103,2611857.716,2555848.472,2452343.941,2409956.977,2267744.738,2113565.200,1947387.442,1792037.829,1637446.040,1458427.832,1291224.919,1136597.236,1014960.459
19,3853763.817,3802749.902,3862576.550,3747605.642,3593160.888,3541399.977,3399347.073,3169982.589,2970813.308,2712963.727,2546495.231,2336889.605,2121381.839,1880782.507,1661761.670
20,5247445.418,5275437.263,5222123.715,5163216.514,4991387.258,4891478.171,4736212.329,4500564.253,4289820.717,3993803.201,3724584.728,3552210.975,3202150.131,2926705.042,2633023.875
21,6982875.088,7037535.215,6912566.825,6842490.281,6719459.375,6601098.739,6320957.442,6126240.708,5882688.977,5572330.145,5255740.673,4864691.843,4575281.184,4207517.288,3880437.156
22,8849936.935,8763793.983,8763670.805,8570791.621,8539612.459,8343550.630,8032708.027,7922054.930,7497407.217,7234314.879,6878620.990,6470779.583,6133168.497,5675136.776,5247272.369
23,10568751.900,10666434.768,10460891.275,10366431.909,10293391.190,10149135.100,9844698.490,9618177.159,9218401.456,8962014.501,8470102.262,8158275.385,7730750.380,7268266.132,6809838.981
24,12283488.694,12213920.169,12194164.432,12056951.824,11938082.792,11723484.468,11506442.875,11179587.431,10876526.116,10558575.966,10125637.668,9795254.265,9243600.551,8768893.644,8197750.144
25,13564914.296,13598103.980,13507838.447,13432375.079,13224146.865,13028324.018,12783735.507,12581852.939,12266245.653,11982948.616,11618214.441,11222099.776,10669056.141,10175248.156,9610954.170
26,14496603.388,14609531.848,14535466.637,14323713.610,14274871.669,14048593.414,13854300.379,13591984.809,13239923.127,13023817.872,12570055.898,12231253.212,11664454.950,11165854.601,10746297.962
27,15172616.301,15089235.034,15103519.463,15034445.023,14818005.459,14780689.663,14547599.377,14277505.758,14046326.669,13699654.287,13260159.520,12891774.447,12408926.791,11891887.525,11297930.948
28,15293250.344,15426076.503,15225975.939,15350864.927,15091431.912,14972567.520,14782367.970,14423961.775,14245007.735,13884624.590,13567984.875,13193807.279,12715165.501,12368777.073,11831965.155
29,15358337.816,15409529.043,15257126.095,15174506.269,15087283.812,14859245.664,14688322.117,14493898.043,14218782.941,13891181.547,13552158.525,13193003.412,12844959.925,12278420.028,11870197.523
30,14999616.304,15077619.908,15019170.049,14886477.608,14756044.586,14564321.828,14433069.672,14234018.805,14012715.040,13625864.626,13424941.607,13154043.896,12625642.134,12114313.464,11745148.336
31,14531483.508,14584987.813,14500066.928,14447433.600,14264890.928,14263918.100,13995576.398,13820264.910,13518717.621,13287071.560,13044794.438,12654079.029,12326857.950,11860083.525,11315837.156
32,14040008.581,13998425.847,13926945.257,13840451.752,13782980.846,13656422.391,13497548.238,13317587.100,13120043.854,12786708.409,12545813.141,12269286.307,11796790.322,11346534.826,11029500.512
33,13358107.282,13365413.730,13430645.329,13287865.603,13179229.251,12997672.164,12958509.963,12705740.099,12476285.002,12217832.615,11915060.368,11528748.094,11224205.245,10830437.202,10506256.204
