alt,pa0,pa5,pa10,pa15,pa20,pa25,pa30,pa35,pa40,pa45,pa50,pa55,pa60,pa65,pa70
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0.501,0.000,0.684,0.498,0.000,0.000,0.411,0.000,0.000,0.000,0.000,0.000,0.447,0.000,0.000
23,0.381,0.000,0.070,0.497,0.000,1.042,0.436,0.000,0.073,0.000,0.113,0.000,0.000,0.169,1.729
24,0.005,1.369,0.000,0.084,0.803,0.626,0.951,0.045,1.016,0.585,0.446,0.000,0.011,0.631,0.761
25,0.326,0.752,0.042,0.000,1.190,1.845,0.706,2.128,2.852,0.308,0.000,0.075,0.633,0.477,1.148
26,1.682,2.762,1.725,2.045,0.812,1.472,1.733,2.409,1.623,1.402,0.438,1.912,3.096,1.554,0.618
27,4.517,6.423,2.838,4.250,3.776,1.904,1.448,4.061,2.733,2.248,1.815,1.630,3.147,2.779,1.681
28,1.346,5.815,4.306,2.411,7.587,2.410,4.440,4.854,3.714,2.720,3.950,2.468,4.094,2.854,4.434
29,6.293,9.143,3.848,6.719,7.252,5.574,6.900,5.554,3.218,6.451,3.591,4.751,6.995,4.959,7.704
30,7.375,11.509,7.908,8.322,5.083,7.795,6.702,11.666,9.287,5.629,10.632,7.340,8.912,5.903,8.647
31,15.666,10.460,8.884,10.701,9.757,8.907,11.488,12.318,10.926,7.952,5.669,6.994,8.404,9.952,7.990
32,15.019,13.444,11.905,11.690,13.032,14.879,10.241,13.566,10.224,4.102,10.588,9.881,12.248,9.963,13.746
33,14.722,21.734,20.051,13.001,12.492,17.224,15.818,16.386,15.068,10.453,12.525,11.330,10.171,16.870,19.629
34,16.676,23.695,17.900,13.133,18.351,16.659,14.461,24.088,13.869,15.639,16.054,13.627,13.544,11.472,16.736
35,16.658,23.083,21.031,18.888,18.639,23.036,23.661,18.175,16.990,18.774,17.519,13.610,19.805,19.187,15.023
36,15.152,25.656,20.855,22.835,16.466,21.354,19.258,25.210,16.722,17.954,18.044,17.365,18.203,20.601,16.292
37,16.315,24.320,22.902,20.949,24.895,24.144,29.852,25.003,19.309,14.903,14.035,21.711,20.983,19.060,21.292
38,20.207,24.140,25.253,18.200,23.306,26.915,26.470,28.125,19.921,21.013,22.856,16.709,20.504,19.015,20.303
39,27.710,29.802,22.726,19.568,24.351,26.751,27.512,26.910,24.549,22.023,23.138,18.793,21.773,23.232,20.257
40,29.937,25.188,27.078,23.484,23.874,30.022,26.660,30.681,22.678,22.343,23.711,24.150,20.569,24.648,28.827
41,28.276,27.140,23.689,30.771,24.833,33.110,30.117,32.246,19.252,26.819,19.632,31.409,22.284,23.476,25.606
42,26.526,32.804,29.833,28.300,22.486,27.716,28.280,29.232,25.485,23.890,25.999,25.766,26.660,27.185,30.962
43,25.681,29.719,33.058,31.008,26.557,30.496,27.514,28.472,24.369,27.512,27.647,23.888,27.615,31.055,27.640
44,35.277,35.687,30.432,25.978,26.624,35.976,31.025,28.790,22.921,26.565,24.360,31.549,23.135,29.791,29.624
